# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-05-11 23:09:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpeem7arw8/jnfa5xt5.json
# init = 2 (Default)
# random
#   seed = 49777
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den-asym_nNone/den_SBERT.nonsems/multireg-20250511180926_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,sigma,beta.1,beta.2,beta.3,log_p
# Adaptation terminated
# Step size = 0.554733
# Diagonal elements of inverse mass matrix:
# 2.5262e-05, 2.34898e-05, 2.26603e-05, 2.39482e-05, 1.55982e-05
-34592.6,0.763466,0.554733,3,7,0,34596.1,-0.0038426,0.0731476,0.142848,0.112098,0.984342,0.0583316,0.132149,0.113049,-33917.8
-34592.6,0.749614,0.554733,2,3,0,34596.4,0.00110081,0.0759067,0.148735,0.114549,0.984398,0.0606405,0.137882,0.11552,-33922.7
-34593.5,0.917538,0.554733,3,7,0,34594.4,-0.00197544,0.0676422,0.145442,0.109965,0.983933,0.0524742,0.135099,0.110897,-33917.5
-34596.1,0.827075,0.554733,2,3,0,34597.2,0.0036726,0.0817895,0.151578,0.111581,0.985401,0.0669239,0.141198,0.112527,-33929.3
-34594.7,0.988689,0.554733,3,7,0,34598.6,0.00728008,0.074137,0.141444,0.111811,0.986428,0.059506,0.130743,0.112759,-33918.3
-34593.9,0.968756,0.554733,3,7,0,34596.5,0.00023671,0.0743773,0.144399,0.111593,0.989963,0.0595672,0.133811,0.112539,-33918.7
-34593.9,0.989491,0.554733,3,7,0,34595.3,-0.00657212,0.0736349,0.147253,0.114657,0.9869,0.0583259,0.136342,0.115629,-33919.9
-34594.7,0.955071,0.554733,3,7,0,34596.3,0.00618096,0.0703118,0.143319,0.112283,0.981625,0.0552722,0.132609,0.113235,-33918.6
-34593,0.998283,0.554733,3,7,0,34595.5,-0.00199686,0.0785263,0.14774,0.112545,0.985567,0.0636557,0.137123,0.113499,-33923.5
-34594.3,0.878806,0.554733,2,3,0,34595.2,-0.0037756,0.0796917,0.144594,0.116225,0.98471,0.0648193,0.133401,0.11721,-33921.9
-34592.5,0.818025,0.554733,2,3,0,34597.6,-0.000995414,0.0725782,0.142323,0.112337,0.983128,0.0577453,0.131577,0.11329,-33917.6
-34595.4,0.76986,0.554733,2,3,0,34595.9,-0.00200849,0.0663811,0.142727,0.116795,0.987292,0.0507749,0.131404,0.117785,-33913.5
-34594.3,0.9903,0.554733,3,7,0,34597.2,-0.00215611,0.0780641,0.14813,0.106277,0.98597,0.0636462,0.138352,0.107178,-33925.2
-34596.8,0.822051,0.554733,3,7,0,34598.9,0.00996345,0.0703937,0.143362,0.108409,0.98515,0.0556707,0.133165,0.109328,-33919.5
-34594.1,0.981535,0.554733,2,3,0,34598.7,-0.0024708,0.07668,0.146486,0.11919,0.984604,0.0612456,0.134955,0.120201,-33920.9
-34595.3,0.941323,0.554733,3,7,0,34596.7,0.00258826,0.0665314,0.144291,0.106456,0.984524,0.0516622,0.134379,0.107359,-33917.7
-34592.9,1,0.554733,3,7,0,34595.8,-0.00200992,0.0723739,0.144631,0.107618,0.985988,0.0577465,0.134575,0.10853,-33919.3
-34593.7,0.902181,0.554733,2,3,0,34594.7,-0.00186878,0.0741094,0.147974,0.115916,0.980918,0.0586758,0.136919,0.116899,-33922.1
-34593,0.99273,0.554733,3,15,0,34594.7,-0.00140624,0.073119,0.141363,0.109448,0.985885,0.0586228,0.130971,0.110376,-33917.3
-34593.5,0.880108,0.554733,3,7,0,34595.7,0.000811773,0.073735,0.151559,0.114995,0.983894,0.0580964,0.140728,0.11597,-33923.7
-34592.4,1,0.554733,3,7,0,34593.8,-0.000687838,0.0758868,0.144349,0.109391,0.985474,0.0613523,0.134051,0.110318,-33920.6
-34593.3,0.928495,0.554733,2,3,0,34593.8,-0.000555578,0.0763841,0.149612,0.108704,0.986035,0.0615593,0.139555,0.109626,-33924.5
-34593.6,0.884396,0.554733,2,7,0,34595.8,0.00266718,0.0688539,0.14892,0.114239,0.983516,0.0531646,0.138113,0.115207,-33919.9
-34594.7,0.89927,0.554733,3,7,0,34596.3,-0.00320199,0.0771003,0.141739,0.114361,0.989128,0.0624238,0.13071,0.11533,-33918.2
-34594.1,0.983867,0.554733,3,7,0,34596.7,-0.00147725,0.0675229,0.144676,0.110933,0.981575,0.0523237,0.134183,0.111874,-33917.6
-34594.2,0.997542,0.554733,3,7,0,34596.2,0.00261104,0.0763101,0.140556,0.114766,0.98787,0.0616367,0.129439,0.115739,-33917.5
-34597.7,0.717058,0.554733,2,3,0,34600.1,-0.00310488,0.0653957,0.15065,0.104739,0.984538,0.0501408,0.141147,0.105627,-33921.9
-34599.1,0.812635,0.554733,3,7,0,34604.3,0.00045947,0.0776873,0.147636,0.106264,0.97648,0.0632825,0.137845,0.107165,-33929.1
-34593.7,0.804725,0.554733,2,3,0,34603.8,-0.0031865,0.0745804,0.14949,0.11455,0.988072,0.0591783,0.138659,0.115521,-33921.6
-34592.7,0.992086,0.554733,3,7,0,34594.4,0.00196769,0.0745114,0.142888,0.112887,0.982373,0.0597127,0.132086,0.113844,-33919.3
-34593.1,0.697939,0.554733,3,7,0,34597,-0.00123631,0.0695887,0.145182,0.115736,0.983392,0.0540907,0.13407,0.116717,-33917.2
-34593.5,0.947067,0.554733,3,7,0,34594.6,0.00295955,0.0719615,0.145814,0.106719,0.98529,0.057297,0.135911,0.107624,-33920.7
-34594.4,0.887745,0.554733,3,7,0,34596.2,-0.00586878,0.0786194,0.143038,0.114076,0.986177,0.0639667,0.132084,0.115043,-33920.4
-34593.7,0.996602,0.554733,3,7,0,34595.3,0.00192024,0.0672104,0.147014,0.113074,0.983982,0.0516507,0.136306,0.114032,-33917.9
-34596.9,0.763202,0.554733,2,3,0,34598.2,0.00229988,0.0665154,0.146116,0.1207,0.986941,0.0503577,0.134375,0.121724,-33915.6
-34594.1,0.988405,0.554733,2,3,0,34598.4,0.00443585,0.0690928,0.142883,0.115749,0.984738,0.0537277,0.131704,0.11673,-33915.8
-34595.2,0.94999,0.554733,3,7,0,34596.3,-0.00619947,0.080142,0.148629,0.112017,0.983093,0.0653503,0.138107,0.112967,-33926.2
-34592.8,1,0.554733,3,7,0,34595.6,0.00296064,0.070136,0.145972,0.11427,0.985213,0.0547342,0.135076,0.115238,-33918
-34593,0.983828,0.554733,3,7,0,34593.8,-0.00108829,0.0778258,0.14445,0.115534,0.985764,0.0629046,0.133344,0.116514,-33920.5
-34593.9,0.721857,0.554733,2,3,0,34596.5,0.00165476,0.0781015,0.146316,0.112715,0.980741,0.0632928,0.135635,0.113671,-33924.2
-34594.8,0.966176,0.554733,2,3,0,34595.8,0.00534165,0.0784438,0.146591,0.110114,0.981625,0.0638478,0.136262,0.111048,-33925.4
-34594.1,1,0.554733,3,7,0,34596,-0.00574525,0.0694232,0.14483,0.114066,0.986918,0.0540758,0.133928,0.115033,-33916.4
-34594,0.973881,0.554733,3,7,0,34596.3,0.00508935,0.0780472,0.147212,0.109986,0.983328,0.0633927,0.136918,0.110918,-33924.9
-34593.6,0.952128,0.554733,2,3,0,34595.6,0.00613364,0.0719942,0.146477,0.112564,0.983222,0.0568095,0.135821,0.113519,-33920.6
-34593.2,0.998402,0.554733,3,7,0,34594.8,8.75591e-05,0.0796632,0.146775,0.112754,0.985266,0.0649148,0.136103,0.11371,-33923.8
-34594.1,0.925271,0.554733,3,7,0,34595.3,0.00745222,0.0743452,0.146826,0.112448,0.984056,0.0592899,0.136196,0.113402,-33922.1
-34595.9,0.600605,0.554733,3,7,0,34602.7,-0.000501663,0.0682893,0.149016,0.120509,0.983406,0.0520491,0.137383,0.12153,-33918.9
-34597,0.859456,0.554733,1,1,0,34597.4,-0.000348207,0.0682363,0.148367,0.122354,0.983459,0.0518894,0.136472,0.123391,-33918.4
-34596.5,0.946685,0.554733,3,7,0,34601.1,-0.00045146,0.0787937,0.144532,0.102446,0.986189,0.0649895,0.135156,0.103315,-33925
-34593.6,1,0.554733,2,3,0,34596.8,0.00193529,0.0729809,0.147307,0.118251,0.983384,0.0573358,0.135924,0.119254,-33920.1
-34593.5,0.701609,0.554733,3,7,0,34599.4,-0.00256616,0.0728342,0.143268,0.106878,0.986092,0.0583928,0.133271,0.107784,-33918.9
-34592.1,0.999761,0.554733,3,7,0,34593.5,0.0016584,0.0720993,0.146053,0.112301,0.985681,0.0569729,0.135419,0.113253,-33919
-34593.8,0.794687,0.554733,2,3,0,34594.8,0.00201779,0.0709314,0.148117,0.107708,0.987428,0.0559582,0.138149,0.108621,-33920.8
-34592.9,0.562582,0.554733,3,7,0,34601.2,-0.00237264,0.0759136,0.143761,0.116312,0.984504,0.0608606,0.132532,0.117298,-33919.1
-34596.8,0.625884,0.554733,2,3,0,34599,-0.00286577,0.0740371,0.147093,0.122978,0.987191,0.0580886,0.13508,0.124021,-33919.3
-34592.5,0.999781,0.554733,3,7,0,34596.7,-0.00248058,0.0725588,0.147894,0.111228,0.9864,0.057416,0.137455,0.112171,-33920.3
-34593.3,0.711599,0.554733,2,3,0,34596.1,-0.00232441,0.073509,0.144057,0.109727,0.981087,0.0588214,0.133706,0.110657,-33920.5
-34592.5,0.981597,0.554733,2,3,0,34593.8,-0.00130115,0.0708617,0.14388,0.111794,0.983228,0.0558556,0.133251,0.112742,-33917.7
-34592.3,0.998847,0.554733,3,7,0,34592.6,-0.000560768,0.0718327,0.143338,0.111582,0.9834,0.0569425,0.132721,0.112528,-33917.9
-34594.2,0.796981,0.554733,2,3,0,34595.3,-0.00118833,0.07038,0.13914,0.109039,0.985421,0.0559071,0.128739,0.109964,-33915.1
-34598.6,0.7211,0.554733,2,3,0,34600.4,-0.000707323,0.0642187,0.138268,0.118582,0.98404,0.0486531,0.126582,0.119587,-33911.1
-34597.8,0.955654,0.554733,3,7,0,34604,0.000356497,0.0822303,0.151353,0.104905,0.985953,0.0679501,0.141848,0.105794,-33931.1
-34594.6,0.934594,0.554733,2,3,0,34601.3,0.00388766,0.0751149,0.141869,0.118249,0.982842,0.0599909,0.13033,0.119251,-33918.4
-34593.3,1,0.554733,3,7,0,34595.4,0.000759978,0.0738754,0.142411,0.115709,0.987636,0.0588423,0.131223,0.11669,-33916.8
-34593.8,0.645378,0.554733,2,3,0,34598.7,-0.00558842,0.0726653,0.142108,0.109292,0.986093,0.0581004,0.131758,0.110219,-33917.6
-34593.3,0.631909,0.554733,3,7,0,34600.4,-0.00169188,0.0701044,0.147129,0.11102,0.988171,0.0548818,0.136696,0.111961,-33918.5
-34597.5,0.531067,0.554733,2,3,0,34601.3,0.00821495,0.0686138,0.14514,0.117664,0.981012,0.0529021,0.133772,0.118662,-33918.9
-34593.3,0.99301,0.554733,3,7,0,34598.5,0.00300448,0.0727785,0.145128,0.107208,0.985803,0.0581738,0.135141,0.108117,-33920.4
-34594.7,0.878422,0.554733,3,7,0,34596.2,-0.00630161,0.0697384,0.147111,0.108019,0.986439,0.0547383,0.137073,0.108935,-33919.6
-34595,0.869369,0.554733,3,7,0,34599.3,0.00529272,0.0775943,0.139282,0.11222,0.98442,0.0632979,0.128465,0.113171,-33919.2
-34595,1,0.554733,3,7,0,34596.4,0.0028951,0.0768108,0.138082,0.11564,0.985148,0.0622744,0.126778,0.11662,-33917
-34593.7,1,0.554733,2,3,0,34595.2,0.0017688,0.0742573,0.140168,0.116257,0.985373,0.0593639,0.128843,0.117243,-33916.2
-34593.4,0.997107,0.554733,3,7,0,34594.6,-0.00436069,0.0743011,0.147812,0.108475,0.983215,0.0594953,0.137734,0.109394,-33922.8
-34592.4,0.990352,0.554733,2,3,0,34594,-0.00293754,0.072449,0.144759,0.110661,0.983807,0.0575699,0.134305,0.1116,-33919.1
-34594.4,0.651973,0.554733,2,3,0,34597.1,-0.00573619,0.0780846,0.148498,0.114994,0.98607,0.0629335,0.137579,0.11597,-33923.3
-34593.3,0.995038,0.554733,3,7,0,34595.6,0.000736401,0.0756315,0.14015,0.114153,0.985786,0.060995,0.129102,0.115121,-33917.1
-34594.2,0.911212,0.554733,3,7,0,34595.7,-0.00561499,0.074496,0.149147,0.107674,0.983859,0.0596716,0.139213,0.108587,-33924
-34593.2,0.874117,0.554733,3,7,0,34597.1,-0.000734339,0.0745569,0.1505,0.114231,0.982524,0.0591069,0.13974,0.115199,-33923.8
-34592.8,0.914753,0.554733,3,7,0,34594.8,-0.00269474,0.0711366,0.142541,0.110229,0.984586,0.0563704,0.13208,0.111164,-33917
-34594.7,0.864902,0.554733,3,7,0,34595.5,0.00541938,0.0804044,0.146319,0.113246,0.985688,0.0656945,0.135568,0.114206,-33924.5
