lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,mu_beta.1,mu_beta.2,sigma_beta.1,sigma_beta.2,log_p
# Adaptation terminated
# Step size = 0.429688
# Diagonal elements of inverse mass matrix:
# 3.00997e-05, 2.08879e-05, 0.000274754, 0.000160144, 0.000275648, 0.000187016, 0.000481771, 0.000403417, 0.000189896, 0.00021913, 0.000229145, 0.000181144, 0.000216045, 0.000197305, 0.0003694, 0.000209336, 0.000358289, 0.000346307, 0.000330178, 0.000259951, 0.00226609, 0.000859213, 0.0816203, 0.0675094
-19041.6,0.758509,0.429688,3,7,0,19048.2,-0.00572927,0.984251,0.22792,-0.0180543,0.258907,0.110375,0.29687,0.161311,0.084329,0.107,0.249075,0.169567,-0.0210445,0.0834449,0.0728621,0.0138256,0.143312,0.0910773,0.174958,0.17727,0.189155,0.0734311,0.190259,0.06732,-19110.2
-19035.1,0.96797,0.429688,3,7,0,19053.2,-0.0124093,0.974243,0.207884,-0.0238688,0.267666,0.11671,0.279298,0.215831,0.0572935,0.0687828,0.195478,0.147448,-0.0390084,0.0588209,0.0660189,0.0120569,0.144283,0.107311,0.167247,0.181206,0.132257,0.0929516,0.161531,0.0568023,-19084.1
-19037.1,0.899196,0.429688,3,7,0,19047.6,-0.00359129,0.977012,0.214115,-0.0150302,0.245427,0.0855073,0.327521,0.191382,0.104756,0.0705122,0.255929,0.170908,-0.0139669,0.0943586,0.0806633,-0.00254741,0.119607,0.0975748,0.131895,0.150227,0.186167,0.0827708,0.0806607,0.0770103,-19097.4
-19037.5,0.841822,0.429688,3,7,0,19052.1,-0.00279881,0.978904,0.234058,-0.0401817,0.262633,0.0942641,0.317338,0.20015,0.0834907,0.0530944,0.236853,0.18264,-0.0191881,0.0928829,0.0736003,-0.0066836,0.158272,0.0862354,0.14788,0.169217,0.12868,0.0982355,0.0898806,0.0616304,-19121.5
-19039.6,0.952401,0.429688,3,7,0,19048,-0.0117339,0.974179,0.191978,-0.00311274,0.254836,0.123531,0.325266,0.210418,0.123725,0.0859697,0.232605,0.1405,-0.0205706,0.085844,0.0592441,-0.0117235,0.154146,0.10687,0.166938,0.174069,0.238513,0.130122,0.140217,0.105655,-19109.5
-19043.2,0.782053,0.429688,3,15,0,19058.5,-0.00482704,0.977849,0.228037,-0.0481058,0.276162,0.0949269,0.289234,0.186327,0.0287918,0.0437436,0.240367,0.176324,-0.040851,0.0654563,0.0847844,0.00822865,0.12379,0.105732,0.154344,0.151954,0.0949847,6.53488e-05,0.121227,0.119905,-19092
-19037.6,0.887979,0.429688,3,7,0,19056.1,-0.011207,0.973319,0.219548,-0.02727,0.283249,0.0967965,0.284347,0.170739,0.0991093,0.0657062,0.229351,0.131584,-0.0216683,0.0925693,0.0593349,0.0130192,0.150209,0.107541,0.144173,0.160221,0.220313,0.0975655,0.245492,0.0682639,-19081.2
-19047,0.788551,0.429688,3,15,0,19056.6,-0.00217449,0.973758,0.213216,-0.0322092,0.242541,0.138931,0.334904,0.179409,0.0799586,0.0551061,0.209064,0.161541,-0.0595607,0.0467751,0.0675915,0.00801917,0.129689,0.124979,0.158882,0.189951,0.171698,0.0485987,0.225498,0.11513,-19120.4
-19043.4,1,0.429688,3,7,0,19055.6,-0.0128429,0.976304,0.227008,-0.0255659,0.278948,0.0786659,0.281514,0.221824,0.075119,0.105031,0.258586,0.155943,-0.000705559,0.0968876,0.072108,-0.0157688,0.135857,0.0960775,0.15019,0.142613,0.131949,0.103043,0.0822895,0.0882881,-19095.2
-19040,0.946906,0.429688,3,7,0,19058.5,-0.00782731,0.974374,0.201114,-0.0559431,0.23085,0.0864954,0.305601,0.172042,0.108963,0.0626491,0.24366,0.148889,0.00485597,0.0850726,0.0831201,0.0020633,0.153935,0.10213,0.149061,0.161511,0.2118,0.0986701,0.186878,0.0447934,-19079.3
