# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-04-21 02:00:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpauik0v1i/75hqp2eu.json
# init = 2 (Default)
# random
#   seed = 85324
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/h-nondens/hreg-20250420210043_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,mu_beta.1,mu_beta.2,sigma_beta.1,sigma_beta.2,log_p
# Adaptation terminated
# Step size = 0.438361
# Diagonal elements of inverse mass matrix:
# 2.94005e-05, 2.17928e-05, 0.000114594, 0.000153788, 0.000193271, 0.000200203, 0.000425131, 0.000333831, 0.000238108, 0.000220067, 0.000221995, 0.000186127, 0.000249757, 0.000233436, 0.000533746, 0.000184246, 0.000358458, 0.000405407, 0.000293346, 0.000266658, 0.00189584, 0.000842482, 0.0951588, 0.0873638
-19035.2,0.971435,0.438361,3,7,0,19050.1,-0.00402955,0.972738,0.0967896,-0.0241537,0.282222,0.109073,0.305594,0.164803,0.0459817,0.073241,0.207228,0.123208,-0.028917,0.128677,0.0700764,-0.000319818,0.138951,0.132947,0.155838,0.183195,0.125087,0.101678,0.136366,0.0499859,-19156.8
-19032.4,1,0.438361,3,7,0,19042,-0.00820607,0.975498,0.099538,-0.0186728,0.242065,0.126131,0.314099,0.154255,0.0667608,0.0839302,0.208844,0.134526,-0.0350058,0.111253,0.0792978,0.0244869,0.13922,0.135923,0.137329,0.189748,0.109262,0.123731,0.0884499,0.0865743,-19156.8
-19034.4,0.852723,0.438361,3,7,0,19045.9,-0.00823502,0.977964,0.133562,-0.0455598,0.232091,0.0983434,0.334017,0.172516,0.0365244,0.104135,0.222041,0.147864,-0.0531756,0.129461,0.081027,-0.0126016,0.122453,0.128586,0.15463,0.14675,0.132632,0.1266,0.107855,0.0825841,-19160
-19035.2,0.842073,0.438361,3,7,0,19047.7,-0.00398,0.974105,0.105989,-0.0427417,0.280856,0.126259,0.336213,0.171176,0.0419834,0.103473,0.221142,0.140454,-0.0470623,0.102619,0.0580654,-0.00299158,0.139675,0.134735,0.120021,0.177203,0.109978,0.0345357,0.109882,0.108673,-19177.2
-19033,0.976651,0.438361,3,7,0,19042.5,-0.0034268,0.975183,0.112252,-0.0215912,0.273772,0.145241,0.318863,0.158436,0.0592197,0.0987653,0.218445,0.153036,-0.0534659,0.0984959,0.0636112,-0.0193837,0.144526,0.0957279,0.127309,0.163558,0.1147,0.0241265,0.117297,0.095606,-19157.6
-19029,0.962558,0.438361,3,7,0,19040.2,-0.00638185,0.976751,0.122369,-0.0243779,0.227595,0.104352,0.311259,0.157849,0.0713925,0.0813752,0.223748,0.161322,-0.0297345,0.123362,0.0659227,0.0161453,0.120689,0.0890874,0.151791,0.166159,0.176751,0.133091,0.0929358,0.072499,-19141.7
-19034.5,0.803821,0.438361,3,7,0,19041.6,-0.00520507,0.974574,0.124531,-0.0482891,0.269107,0.132187,0.305979,0.167256,0.0519618,0.0857505,0.243088,0.137851,-0.0223111,0.109251,0.08974,-0.00662014,0.139922,0.137633,0.15184,0.133198,0.104996,0.0702094,0.13753,0.062618,-19164.5
-19033.3,0.940278,0.438361,3,7,0,19047,-0.0108367,0.972658,0.129812,-0.0418538,0.217015,0.112725,0.319801,0.153607,0.0331883,0.0517223,0.245784,0.141831,-0.0178671,0.123433,0.0857969,-0.000740733,0.154654,0.116671,0.15422,0.149743,0.121525,0.0928125,0.161531,0.0584084,-19155.3
-19041.6,0.755066,0.438361,3,7,0,19051.4,-0.00298634,0.982485,0.1116,-0.0226334,0.245757,0.159067,0.321698,0.168581,0.0758469,0.071152,0.249378,0.11567,-0.0328673,0.128719,0.0834202,0.0199129,0.142556,0.108738,0.167344,0.131892,0.1841,0.0996452,0.123926,0.0501594,-19159.8
-19033.6,0.992007,0.438361,3,7,0,19052.4,-0.00906118,0.973112,0.0973247,-0.0386452,0.239019,0.111211,0.282324,0.159934,0.0368594,0.0818696,0.208194,0.146923,-0.0105866,0.0913955,0.0764681,-0.00248129,0.11464,0.135511,0.134517,0.169616,0.167078,0.0909227,0.112229,0.0625427,-19123.4
-19034,0.954863,0.438361,3,7,0,19042.4,-0.00479285,0.978567,0.136185,-0.00914346,0.251582,0.107444,0.332033,0.154553,0.0892678,0.0915469,0.229287,0.167578,-0.0426574,0.104839,0.0795276,0.00863594,0.144547,0.0732316,0.149609,0.159731,0.123499,0.0982436,0.0938042,0.0679444,-19162.8
-19036.6,0.803745,0.438361,3,7,0,19046.8,-0.00545613,0.974604,0.0974485,-0.0463265,0.262387,0.11181,0.335644,0.159328,0.0518141,0.0486671,0.222074,0.127928,-0.0345088,0.0934138,0.051617,-0.0177718,0.136249,0.0920731,0.150445,0.154168,0.235198,0.068577,0.177785,0.116191,-19134.7
-19035.4,1,0.438361,3,15,0,19042.3,-0.00491739,0.975218,0.102598,-0.0428383,0.259612,0.106196,0.331031,0.156094,0.0592467,0.0552722,0.218828,0.128937,-0.0349137,0.0946945,0.0601872,-0.0159255,0.140757,0.0837306,0.146548,0.161352,0.243713,0.081879,0.208742,0.113582,-19132.6
-19035.9,0.929933,0.438361,4,15,0,19049.1,-0.010921,0.976192,0.10395,-0.0305605,0.236992,0.0997773,0.329754,0.160751,0.0524913,0.112527,0.23728,0.174337,-0.0318529,0.113261,0.0822053,0.00131706,0.137985,0.136447,0.132776,0.144393,0.0453278,0.121705,0.108185,0.0811086,-19168.6
-19039.9,0.866137,0.438361,3,7,0,19055.6,-0.00812219,0.976016,0.0920966,-0.0101568,0.248123,0.127243,0.304291,0.142507,0.0607131,0.0470376,0.199942,0.147458,-0.0463562,0.0589581,0.0632421,-0.00497164,0.142472,0.0963925,0.193595,0.180293,0.219532,0.0658618,0.12915,0.0982494,-19127.5
-19037.6,0.972228,0.438361,3,7,0,19052,-0.0100572,0.978276,0.0939692,-0.0310164,0.271145,0.119578,0.339779,0.182489,0.077588,0.0306638,0.215678,0.175157,-0.0336849,0.0902452,0.0637936,0.00660246,0.123405,0.116981,0.130858,0.188482,0.108148,0.116116,0.171751,0.0665392,-19171.3
-19038.9,0.849859,0.438361,3,7,0,19056.5,-0.0128881,0.977035,0.120114,-0.0224293,0.206777,0.10304,0.320515,0.132571,0.0394308,0.111071,0.237983,0.160622,-0.0220714,0.0980123,0.0596381,-0.0313946,0.130942,0.112223,0.106399,0.177032,0.164104,0.0799877,0.136878,0.0610756,-19132.5
-19039.4,0.986958,0.438361,3,7,0,19050.9,-0.0210424,0.974275,0.116441,-0.033165,0.204886,0.10971,0.33896,0.128784,0.0866779,0.0945657,0.227504,0.155053,-0.0286795,0.0934756,0.0522955,-0.0160278,0.119729,0.103704,0.117034,0.168595,0.120973,0.0946478,0.112713,0.08036,-19133.6
-19040.9,0.958171,0.438361,3,7,0,19055.7,-0.00591548,0.975742,0.106901,0.000275235,0.231609,0.111368,0.336629,0.139522,0.0829476,0.126181,0.198117,0.155086,-0.010075,0.12758,0.0824582,0.00154745,0.129814,0.0999837,0.145205,0.15203,0.0970186,0.0674402,0.096596,0.0450678,-19148.7
-19038.2,1,0.438361,3,7,0,19051.4,-0.011558,0.972769,0.110575,-0.0411795,0.261901,0.128563,0.269335,0.161614,0.0898541,0.0560666,0.22827,0.154254,-0.0551723,0.0828338,0.0746263,0.0122074,0.112313,0.112688,0.128651,0.180415,0.176067,0.129441,0.100383,0.0905395,-19137.7
-19039.4,0.89545,0.438361,3,7,0,19055.8,-0.00664395,0.976278,0.1327,-0.0312568,0.266365,0.125467,0.288561,0.185284,0.0624875,0.0479218,0.229775,0.137984,-0.0482418,0.0994629,0.0499599,-0.000416178,0.125439,0.0863181,0.1452,0.202283,0.185083,0.15261,0.112069,0.0808262,-19146.7
-19036.9,0.841686,0.438361,3,7,0,19060.2,-0.00509092,0.974682,0.118753,-0.014667,0.249896,0.116267,0.336523,0.190513,0.0732129,0.120367,0.207128,0.162209,-0.0220161,0.101634,0.0658763,0.0138072,0.141091,0.119554,0.147813,0.158484,0.156919,0.00977886,0.122312,0.0992638,-19177.7
-19035,0.973784,0.438361,3,7,0,19045.6,-0.00998926,0.974323,0.12751,-0.0407632,0.223427,0.0962063,0.280564,0.141023,0.0267723,0.0595287,0.21448,0.149189,-0.0357868,0.103646,0.0669985,-0.00943747,0.124681,0.110698,0.130785,0.182708,0.172673,0.0987282,0.115661,0.0849654,-19113.9
-19033.4,0.958818,0.438361,3,7,0,19047.1,0.00130528,0.977427,0.117156,-0.0366581,0.263499,0.115451,0.337685,0.167269,0.0905302,0.100256,0.216554,0.165765,-0.031239,0.139258,0.0633732,0.0134772,0.145694,0.0958819,0.151994,0.154133,0.126384,0.0776758,0.122745,0.0713164,-19177.9
-19032.2,0.912978,0.438361,3,7,0,19046.2,-0.0105435,0.973603,0.12062,-0.0262864,0.224043,0.132609,0.291159,0.158507,0.0598908,0.10251,0.216457,0.158364,-0.0287238,0.100227,0.0618955,-0.014095,0.140784,0.109092,0.122171,0.177155,0.0884007,0.117868,0.150284,0.0813582,-19138
-19032.7,0.918542,0.438361,3,7,0,19046.5,-0.00198777,0.978266,0.101604,-0.0199042,0.249865,0.105789,0.33903,0.173627,0.0664294,0.0574847,0.220384,0.151549,-0.0367537,0.128166,0.0728663,0.0147922,0.115618,0.103148,0.162056,0.152465,0.165064,0.0897085,0.0898675,0.109966,-19156
-19034.7,0.98828,0.438361,3,7,0,19041.6,-0.00571526,0.973169,0.117326,-0.0506518,0.262168,0.106396,0.292148,0.147107,0.0405333,0.084612,0.239041,0.142381,-0.0208852,0.068638,0.0724693,-0.00811813,0.149496,0.0973384,0.149159,0.166133,0.118984,0.095189,0.164009,0.046817,-19135.5
-19040.7,0.891298,0.438361,3,7,0,19050.3,-0.00572138,0.977121,0.110451,-0.023673,0.232809,0.128564,0.328917,0.178214,0.0970615,0.0810543,0.184067,0.141221,-0.03236,0.11712,0.0633064,0.0243735,0.110987,0.136216,0.147255,0.174355,0.00543673,0.0919746,0.164324,0.104765,-19154
-19040.3,0.964139,0.438361,3,15,0,19055.5,-0.00791644,0.97316,0.115921,-0.0265453,0.248075,0.103701,0.32248,0.171778,0.0565873,0.0520424,0.235025,0.177814,-0.0762997,0.139431,0.0615569,0.00489081,0.146052,0.12906,0.148154,0.176009,0.0778967,0.0646823,0.15656,0.0664338,-19188.1
-19036.4,0.970854,0.438361,3,7,0,19054.4,-0.0122681,0.97875,0.10019,-0.0130047,0.241506,0.124783,0.336292,0.152879,0.0658293,0.0837149,0.213473,0.138098,-0.0360324,0.0881943,0.0356153,-0.00922193,0.0991534,0.100372,0.126619,0.163794,0.15182,0.114255,0.0898348,0.0866429,-19122.6
-19039.9,0.872837,0.438361,3,7,0,19049.5,-0.00196939,0.969574,0.124668,-0.0475593,0.253935,0.102498,0.283335,0.172053,0.0426679,0.0693047,0.221303,0.167138,-0.0297074,0.123041,0.101979,-0.000716028,0.166752,0.1217,0.169674,0.170055,0.120046,0.0995095,0.190601,0.0629077,-19175.7
-19035.8,1,0.438361,3,7,0,19048.3,-0.0125304,0.977621,0.0969134,-0.0180419,0.24439,0.0838481,0.329866,0.15519,0.0726008,0.0938758,0.230772,0.14676,-0.0447913,0.0933615,0.0650327,0.0155863,0.122643,0.0885277,0.126925,0.162092,0.0759708,0.0893789,0.194963,0.0849724,-19135.3
-19038.4,0.924641,0.438361,3,7,0,19049.4,0.000811668,0.974619,0.13667,-0.049369,0.25314,0.142031,0.301921,0.171405,0.0613116,0.0685606,0.203322,0.149726,-0.0161491,0.121949,0.0811525,-0.0100137,0.150365,0.126971,0.165847,0.182317,0.244279,0.111817,0.109658,0.0729167,-19170.2
-19042.8,0.863518,0.438361,3,7,0,19058.7,-0.00936344,0.973739,0.117828,-0.0515157,0.213277,0.105366,0.293642,0.154596,0.0351642,0.110243,0.228641,0.145231,-0.0102049,0.136761,0.0467738,-0.00767959,0.14702,0.111594,0.169071,0.147753,0.0470497,0.124143,0.116262,0.169406,-19135.2
-19037.8,0.984097,0.438361,3,7,0,19057.3,-0.00221391,0.976537,0.119027,-0.0322753,0.258362,0.125851,0.321036,0.173511,0.0782628,0.039003,0.250218,0.128627,-0.0381478,0.100986,0.0660289,-0.0227889,0.102972,0.123108,0.174672,0.157398,0.130532,0.0864168,0.157101,0.0474495,-19151.5
-19033.1,0.874893,0.438361,3,7,0,19050.3,-0.010696,0.972715,0.112171,-0.0316838,0.234348,0.107142,0.309069,0.154778,0.0274947,0.113209,0.218642,0.171596,-0.0198404,0.108537,0.0728277,0.0168799,0.154767,0.101148,0.119442,0.152135,0.134905,0.0881652,0.119353,0.103475,-19150.3
-19031.5,0.905202,0.438361,3,7,0,19045.3,-0.00364634,0.977644,0.116844,-0.0437248,0.231923,0.101513,0.311666,0.162112,0.064006,0.0358318,0.224325,0.150109,-0.0285628,0.11541,0.0587455,-0.0132022,0.122082,0.117924,0.162667,0.185503,0.0869081,0.0813185,0.118983,0.0974723,-19140.1
