# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-05-11 23:29:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpeem7arw8/b_52eaq7.json
# init = 2 (Default)
# random
#   seed = 56611
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den-asym_nNone/h-den_GPT2_j/hreg-20250511182955_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,mu_beta.1,sigma_beta.1,log_p
# Adaptation terminated
# Step size = 0.536423
# Diagonal elements of inverse mass matrix:
# 2.52625e-05, 1.66422e-05, 0.000127082, 0.000100355, 0.000142515, 0.000105865, 0.000113915, 0.00014387, 0.00011946, 0.000158718, 0.000118789, 0.00034582, 0.0916062
-35718.1,0.950902,0.536423,3,7,0,35721.6,-0.00986009,0.997428,0.0831113,0.117253,0.0530489,0.0680136,0.0148742,0.030619,0.10144,0.0230565,0.00726061,0.0469661,0.0599651,-34185.9
-35719.5,0.872484,0.536423,3,7,0,35722.9,-0.00580945,0.995549,0.0707175,0.134017,0.0609869,0.068086,0.0157856,0.0417381,0.0958548,0.0271397,-0.00729068,0.0654641,0.0403628,-34188
-35721,0.914183,0.536423,3,7,0,35722.7,-0.0104001,0.996882,0.100381,0.0971859,0.0588431,0.0690439,0.0130514,0.0348759,0.111717,0.0188545,0.00707431,0.0447415,0.0472658,-34189.7
-35720.2,0.988481,0.536423,3,7,0,35724.2,-0.0129051,0.996417,0.0802878,0.13529,0.0619568,0.0701048,0.0239368,0.0218641,0.0961707,0.0237647,-0.00241778,0.0659963,0.0419491,-34192
-35720.2,0.927732,0.536423,3,7,0,35724.1,-0.00192964,0.995667,0.0828317,0.104081,0.0556419,0.0717828,0.00825373,0.0486708,0.106477,0.0157103,0.000483936,0.0540499,0.0497895,-34185.6
-35720.9,0.966563,0.536423,3,7,0,35724.2,-0.0126075,0.996612,0.0818814,0.112373,0.0626548,0.0809423,0.0168007,0.0198727,0.0866387,0.0369309,-0.00823334,0.0520552,0.0323969,-34185.8
-35718,0.99765,0.536423,3,7,0,35722.3,-0.0050611,0.996058,0.0877592,0.115402,0.0531036,0.0717334,0.0130304,0.0416044,0.0912683,0.0239959,-0.00272271,0.0479401,0.0489413,-34186
-35720.5,0.865288,0.536423,3,7,0,35724.4,-0.0101173,0.996077,0.0617562,0.117307,0.0559894,0.0693089,0.0165248,0.0184176,0.0965651,0.0271742,-0.00711998,0.059518,0.0360821,-34179.3
-35720.1,0.955628,0.536423,3,7,0,35725.7,-0.0094877,0.996479,0.0675524,0.119954,0.0408857,0.069329,0.0101986,0.0212957,0.101142,0.023568,-0.00513095,0.0655956,0.0453958,-34180.1
-35721.7,0.747461,0.536423,3,7,0,35728.1,-0.00225046,0.997189,0.0777915,0.11724,0.0721523,0.0703965,0.012977,0.0473079,0.0948495,0.00642421,0.0031586,0.0564999,0.0291381,-34186.7
-35722,0.799711,0.536423,3,7,0,35726.8,-0.0126209,0.995393,0.0810058,0.126526,0.0635368,0.0667257,0.0127798,0.0294304,0.100101,0.0503875,0.00677914,0.0567439,0.0682489,-34190.4
-35722.2,0.911729,0.536423,3,7,0,35729.5,-0.00125024,0.996532,0.0932849,0.116918,0.0527971,0.0861266,0.0178284,0.035542,0.104892,0.00511099,-0.00652463,0.0705254,0.0367605,-34195.4
-35719.6,0.849894,0.536423,3,7,0,35726.6,-0.00925069,0.995582,0.0905971,0.122109,0.0782199,0.0809453,0.0189524,0.0240739,0.107011,0.0255284,0.00987579,0.0515616,0.0488156,-34198.5
-35722.9,0.825016,0.536423,3,7,0,35725.5,-0.00478616,0.996218,0.0871318,0.115839,0.0419488,0.0624395,0.0170767,0.0281753,0.118335,0.0382054,0.00119653,0.0966971,0.0519133,-34189.1
-35724.1,0.768272,0.536423,3,7,0,35728.8,-0.00866406,0.997932,0.0773386,0.121304,0.0754536,0.0811111,0.0115218,0.0378476,0.0841675,0.0100709,-0.00199819,0.0123734,0.0776756,-34187.5
-35724.3,0.77518,0.536423,3,7,0,35733.4,-0.00635377,0.993497,0.0955732,0.127203,0.0743501,0.0749146,0.00921343,0.0446217,0.125864,0.0301239,0.0137809,0.0844041,0.0698351,-34205.9
-35721.8,0.995508,0.536423,3,7,0,35727.3,-0.0098321,0.999066,0.0943034,0.117211,0.0538366,0.0690639,0.019767,0.0177928,0.0978131,0.00746903,-0.00653029,0.0777329,0.0644794,-34187.7
-35718.4,0.960279,0.536423,3,7,0,35724.5,-0.00600802,0.993638,0.0912363,0.120843,0.0590661,0.0732569,0.00720133,0.0253885,0.106592,0.0317632,0.00428809,0.0461925,0.04524,-34192.6
-35718.8,0.935451,0.536423,2,7,0,35723,-0.00637904,0.993871,0.0870227,0.115455,0.0484456,0.0766409,0.00766725,0.0320316,0.10126,0.0290365,0.000619476,0.0332966,0.0518075,-34188.5
-35719.3,0.862178,0.536423,3,7,0,35723.9,-0.00932562,0.994597,0.0903338,0.118419,0.0486103,0.068014,0.012496,0.0176233,0.102925,0.025009,-0.00319552,0.0340524,0.0563528,-34187.7
-35719.6,0.905672,0.536423,3,7,0,35724.2,-0.00633813,0.997064,0.0743194,0.115359,0.0738453,0.0701157,0.0173205,0.0451385,0.114926,0.0242871,-0.00422696,0.0741263,0.0450543,-34189.9
-35723.4,0.628448,0.536423,3,7,0,35727.9,-0.00135996,0.992374,0.0841969,0.10533,0.0521633,0.0652599,0.0257094,0.030324,0.0994492,0.0243878,-0.00059583,0.0875022,0.0411439,-34185.3
-35720.2,0.952511,0.536423,3,7,0,35728.2,-0.00994854,0.995401,0.0741085,0.113096,0.0590809,0.0834595,0.0177161,0.0205959,0.0845175,0.0362857,0.000291911,0.0545316,0.0365593,-34184.5
-35719.2,0.938302,0.536423,3,7,0,35722.5,-0.00521853,0.996503,0.0890167,0.11841,0.06181,0.0554566,0.0104792,0.0420957,0.11143,0.0206683,-0.00366688,0.049753,0.0535939,-34187.8
-35719.8,0.827475,0.536423,3,7,0,35724.1,-0.00940019,0.99858,0.0785951,0.114748,0.0572644,0.0572448,0.0072142,0.0409622,0.11526,0.0252115,-0.00943273,0.0454819,0.0459002,-34183.5
-35721.1,0.848685,0.536423,3,7,0,35724.8,-0.00526399,0.999716,0.0919734,0.124906,0.0595952,0.0853424,0.0169921,0.029437,0.103568,0.0352282,0.00829108,0.0625632,0.0283362,-34197.1
-35721.9,0.658958,0.536423,3,7,0,35727.3,-0.00458539,0.996899,0.0775618,0.125675,0.0533078,0.0687367,0.0224972,0.0410114,0.112221,0.0341444,0.0193011,0.0827696,0.0616424,-34193.1
-35721.9,0.880936,0.536423,3,7,0,35729.8,-0.0114141,0.997114,0.0687575,0.103214,0.0666002,0.0819977,0.0200617,0.0283542,0.106088,0.0300578,-0.0141676,0.0439268,0.0590153,-34184.9
-35721.6,0.885831,0.536423,3,7,0,35729.2,-0.0063945,0.993598,0.0699139,0.10449,0.0543332,0.0732154,0.0144328,0.035801,0.102331,0.049771,0.0110771,0.0585936,0.0255719,-34183.8
-35728,0.756585,0.536423,3,7,0,35732.5,-0.00625918,0.999013,0.087942,0.100435,0.0768218,0.0652279,0.00662282,0.0690228,0.0848167,0.00293081,-0.00281782,0.0509488,0.0402078,-34183.8
-35725.8,0.970476,0.536423,3,7,0,35734.3,-0.00615635,0.992845,0.0822643,0.124964,0.0456638,0.0773065,0.0266278,0.00210094,0.116996,0.0480705,0.00186984,0.0518731,0.0464433,-34197.2
-35724.9,0.984682,0.536423,3,7,0,35731.6,-0.0108088,0.993385,0.0863746,0.123133,0.0523122,0.0738246,0.0231381,0.00589569,0.117387,0.0414536,-0.00181954,0.0566821,0.030228,-34196.2
-35719.5,0.943022,0.536423,2,7,0,35730,-0.00670971,0.994221,0.0725644,0.11316,0.0712266,0.0634856,0.0160685,0.0330509,0.1036,0.00947053,-0.00668909,0.0627236,0.048618,-34183.6
