lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,mu_beta.1,mu_beta.2,mu_beta.3,sigma_beta.1,sigma_beta.2,sigma_beta.3,log_p
# Adaptation terminated
# Step size = 0.436718
# Diagonal elements of inverse mass matrix:
# 2.35339e-05, 1.68933e-05, 9.062e-05, 0.000131104, 0.000120568, 0.000125769, 0.000108836, 0.000124066, 0.000212463, 0.00018812, 0.000142687, 0.000122223, 0.000123589, 0.000115948, 0.000116752, 9.78343e-05, 9.01246e-05, 0.000129942, 0.000130906, 0.000107584, 0.000210242, 0.00011716, 9.91477e-05, 0.000176303, 0.000162086, 0.000176773, 0.000176995, 0.000129733, 0.000105055, 0.00199147, 0.00109159, 0.000193289, 0.0710248, 0.0995397, 0.0851683
-33186.5,0.926235,0.436718,4,15,0,33214.8,-0.0109545,0.967897,0.118831,-0.0574887,0.270058,0.110449,0.311145,0.172689,0.0544148,0.0433298,0.24704,0.151038,-0.0392657,0.0808763,0.081809,0.00953171,0.138265,0.118293,0.150543,0.149119,-0.00120267,-0.0417786,-0.0708618,0.0277487,-0.00704444,-0.016171,-0.0811085,0.0238073,-0.00277589,0.13733,0.0430583,-0.00954021,0.0932476,0.0894592,0.0411945,-34115.4
-33183,0.933463,0.436718,3,7,0,33200.3,-0.00886833,0.975309,0.128998,-0.0302445,0.231905,0.120455,0.293525,0.17945,0.048625,0.0414351,0.257793,0.160853,-0.0395624,0.0933587,0.0627766,0.0279902,0.170801,0.112723,0.147515,0.16836,0.00541699,-0.0410597,-0.0427387,0.0531204,0.0103895,-0.00373493,-0.0384711,0.0117769,-0.0188203,0.184578,0.132722,-0.0103799,0.165142,0.0656121,0.0328711,-34097.5
-33181.7,0.82321,0.436718,3,7,0,33206.3,-0.0128592,0.973709,0.135651,-0.0372786,0.236835,0.123534,0.297952,0.182181,0.0563891,0.0426552,0.260004,0.162018,-0.0431298,0.0902758,0.061599,0.0350197,0.168801,0.115601,0.150724,0.159968,0.000640759,-0.0365524,-0.0419295,0.0515201,0.0135296,-0.00419291,-0.0484642,0.0242547,-0.0220005,0.129984,0.0976419,5.7276e-05,0.155053,0.0531635,0.0347965,-34113.6
-33180.2,0.998721,0.436718,3,7,0,33191.7,-0.00633378,0.968463,0.12137,-0.0333569,0.258839,0.117596,0.293621,0.192206,0.0515871,0.0635725,0.240507,0.146393,-0.0409627,0.104819,0.087947,0.00671888,0.159418,0.131918,0.143887,0.154276,-0.000245092,-0.0495158,-0.0265989,0.0331388,0.0176393,-0.0107326,-0.070778,0.0207361,0.000343486,0.0644556,0.105912,-0.0128836,0.171871,0.08727,0.0433085,-34116.1
-33178.9,0.767845,0.436718,3,7,0,33195.8,-0.00561753,0.971671,0.129324,-0.0406908,0.256507,0.111145,0.291147,0.19,0.0494075,0.0646201,0.234758,0.152563,-0.0465008,0.0979601,0.08408,0.0110688,0.153855,0.131507,0.138243,0.152394,-0.000833409,-0.0524812,-0.0284581,0.0438416,0.0176654,-0.0147248,-0.0681911,0.0126625,0.00244909,0.0659666,0.132071,-0.0179746,0.188763,0.0885798,0.0387471,-34099.7
-33177.2,0.853783,0.436718,3,7,0,33197.9,-0.0109869,0.968887,0.126323,-0.0388145,0.245567,0.115212,0.301176,0.172777,0.0636242,0.0648426,0.262119,0.146319,-0.0447654,0.0949674,0.0698155,0.0267116,0.168193,0.113573,0.140517,0.160044,0.0131238,-0.0413751,-0.0421034,0.0315102,-0.0154458,-0.0159548,-0.0477575,0.00849238,-0.0289134,0.186315,0.11357,-0.0117286,0.0859701,0.0818236,0.0354022,-34113.4
-33179.3,0.850432,0.436718,3,7,0,33191.3,-0.0110126,0.970596,0.137135,-0.0294975,0.246306,0.118592,0.280935,0.187878,0.0496398,0.0697178,0.241745,0.135699,-0.0565095,0.104379,0.0644914,0.0202665,0.156647,0.135377,0.148703,0.138393,-0.00329378,-0.0392826,-0.038459,0.0309237,0.0157815,-0.0165688,-0.0503579,0.0140711,-0.00447341,0.09828,0.0850311,-0.0178202,0.134714,0.0704973,0.0246876,-34072.5
-33186.1,0.683,0.436718,3,7,0,33199.2,-0.00448787,0.974523,0.129267,-0.0356096,0.261785,0.109255,0.286852,0.187636,0.042246,0.064894,0.231422,0.146809,-0.0584853,0.09836,0.0550855,0.0161599,0.159609,0.113266,0.138617,0.136935,-0.0122512,-0.0463333,-0.0391163,0.0286556,0.0052912,-0.00882026,-0.0534451,0.0148575,-0.0170296,0.13704,0.111293,0.00130253,0.108169,0.114235,0.0180098,-34058.8
-33190.3,0.410636,0.436718,3,7,0,33213.3,-0.00899075,0.968773,0.124295,-0.0362713,0.271126,0.106978,0.272224,0.186383,0.0625619,0.058183,0.204058,0.139612,-0.0644437,0.10005,0.0673851,0.024475,0.15944,0.121703,0.130522,0.153291,-0.00789419,-0.03179,-0.0484424,0.0293744,0.00574855,-0.0236075,-0.0555635,0.0148847,-0.00787908,0.13885,0.0811962,-0.0209254,0.0587571,0.0802303,0.0212878,-34063.7
-33181.3,0.99702,0.436718,3,7,0,33203.7,-0.0110429,0.974732,0.118593,-0.0401008,0.269426,0.102662,0.289578,0.19211,0.0540054,0.0591931,0.238175,0.148255,-0.0587323,0.0906396,0.0623772,0.0177189,0.16338,0.116103,0.130453,0.157853,-0.00962921,-0.0387711,-0.0414917,0.0234276,-0.00936382,-0.0108591,-0.0433821,0.02754,-0.00430175,0.141254,0.100265,-0.00699484,0.0793834,0.0952662,0.0310316,-34077.6
