density_bin,freq,count,log_cpy entropy,log_cpy variance,log_cpy median,cpy_var,cpy_med,cpy_mean,ref_med,ref_var,year_med,field,log_cpy_var,vectorizer
17.637,0.0009724186704384,11,308.8255381119381,0.2433723546406139,0.7781512503836436,79.01619863351611,6.0,8.865280194287372,49.0,733.603305785124,2009.0,Physics,0.2433723546406139,SBERT
17.724,0.001060820367751,12,,0.3237992130009446,0.7533276666586115,80.1157678817215,5.055555555555555,9.27230033826396,46.5,1065.5763888888887,2013.5,Physics,0.3237992130009446,SBERT
17.88,0.001060820367751,12,338.8507926872509,0.1899801164398978,0.540482399394021,82.12892105515763,3.4722222222222223,7.168707640398814,39.5,1618.0763888888887,2006.0,Physics,0.1899801164398978,SBERT
17.932,0.0009724186704384,11,354.04205952915686,0.3111571272963352,1.0758786104975393,2088.495921386866,11.909090909090908,36.246132894219016,82.0,25999.47107438016,2013.0,Physics,0.3111571272963352,SBERT
18.071,0.0013260254596888,15,,0.1480701843694627,0.9029957185984718,194.6389150740113,7.833333333333333,12.49179455047876,40.0,638.9155555555554,2008.0,Physics,0.1480701843694627,SBERT
18.105,0.0013260254596888,15,356.4941559440937,0.3902863822088896,0.9744458955276118,15960.139459579525,9.428571428571429,53.25824859236624,45.0,592.3288888888889,2010.0,Physics,0.3902863822088896,SBERT
18.296,0.0011492220650636,13,333.0285246471599,0.3896934193114455,0.8653014261025438,194.71777761167823,7.333333333333333,12.582021102326532,42.0,1291.147928994083,2008.0,Physics,0.3896934193114455,SBERT
18.313,0.001060820367751,12,376.4512303590339,0.3384223556899471,0.6830740871240932,56.61819635866865,4.8235294117647065,7.409361383442266,45.0,2211.138888888889,2008.5,Physics,0.3384223556899471,SBERT
18.348,0.0012376237623762,14,,0.1206475195928696,0.7533276666586115,30.837682658671184,4.871794871794872,6.4060585189786865,31.5,1419.2295918367345,2010.0,Physics,0.1206475195928696,SBERT
18.365,0.0011492220650636,13,279.90400465811825,0.2633209811701366,0.8450980400142568,80.50975223713445,7.0,8.090074028535566,53.0,888.5443786982249,2011.0,Physics,0.2633209811701366,SBERT
18.383,0.0015912305516265,18,228.22916464893973,0.4649080538671589,0.5335463732199429,8884.933751250224,3.432352941176471,30.583495435211123,54.5,1529.3487654320988,2011.5,Physics,0.4649080538671589,SBERT
18.435,0.0012376237623762,14,,0.163527634947559,0.6302060723778586,76.03052765765072,3.613095238095238,7.391150626917432,56.5,2910.352040816327,2011.0,Physics,0.163527634947559,SBERT
18.452,0.0011492220650636,13,389.8413613600302,0.2909775706713828,0.6989700043360189,64.68445077290353,5.0,8.359502442861576,46.0,927.455621301775,2012.0,Physics,0.2909775706713828,SBERT
18.469,0.0012376237623762,14,349.40000613931375,0.2239787826507238,1.1442736500196755,105.17310432937012,13.961111111111109,15.422986568569277,54.0,3136.285714285714,2006.5,Physics,0.2239787826507238,SBERT
18.539,0.0009724186704384,11,,0.1332751394261397,0.74232783630846,83.14863483057746,4.125,8.28932178932179,51.0,1350.0826446280992,2011.0,Physics,0.1332751394261397,SBERT
18.573,0.0012376237623762,14,298.0590603967019,0.5568988114820931,0.6316207173872908,85.66656045127802,4.283333333333333,7.67607709750567,48.5,5197.882653061226,2010.5,Physics,0.5568988114820931,SBERT
18.591,0.0014144271570014,16,,0.3452144976179973,0.6434526764861874,965.7544207982434,3.866666666666667,15.23911511175443,53.5,2294.359375,2012.0,Physics,0.3452144976179973,SBERT
18.608,0.001502828854314,17,361.6995094783757,0.2409851888384933,0.5563025007672873,28.866454266162428,3.6,5.514580680757151,57.0,1107.0588235294117,2009.0,Physics,0.2409851888384933,SBERT
18.625,0.0015912305516265,18,397.9981331091431,0.2407742331427909,0.8190743836697338,62.39091839796434,6.676136363636364,9.297099905884735,45.0,591.9166666666666,2006.0,Physics,0.2407742331427909,SBERT
18.643,0.0013260254596888,15,255.58886245983723,0.6492337066414723,0.6172999578846993,18363.38503602688,4.142857142857143,43.2329888521065,48.0,3273.6622222222218,2011.0,Physics,0.6492337066414723,SBERT
18.66,0.001060820367751,12,,0.4077549618099689,0.4666558210414974,152.1772977655896,2.797619047619047,8.708363279522336,56.5,650.2430555555555,2014.5,Physics,0.4077549618099689,SBERT
18.695,0.0013260254596888,15,,0.2081281112243567,0.6658823063200748,68.89122784636488,4.6,8.35537037037037,48.0,879.2622222222222,2011.0,Physics,0.2081281112243567,SBERT
18.729,0.0013260254596888,15,379.3120043321393,0.3162177099508218,1.1276446299842249,5263.134069200151,13.416666666666666,33.91576441102757,59.0,725.8222222222223,2013.0,Physics,0.3162177099508218,SBERT
18.747,0.001060820367751,12,413.7411024395827,0.3678481922127025,0.6841149722142459,1399.1809001183108,5.285714285714286,18.83201232247285,43.5,1369.8055555555557,2012.5,Physics,0.3678481922127025,SBERT
18.764,0.0017680339462517,20,76.55245506895687,0.09268855765258,0.5662365772527788,4.690014037299522,3.6833333333333336,3.909971643853223,36.5,814.8875,2009.0,Physics,0.09268855765258,SBERT
18.781,0.0014144271570014,16,,0.1696392794574587,0.5205869485007527,93.23041843710882,3.1578947368421053,8.05220357879994,45.0,925.5,2012.5,Physics,0.1696392794574587,SBERT
18.799,0.0013260254596888,15,440.40726012471407,0.1787046668311554,1.066946789630613,297.348570496894,11.666666666666666,14.570894392844856,64.0,1590.1333333333334,2010.0,Physics,0.1787046668311554,SBERT
18.816,0.0014144271570014,16,,0.5708811560558303,0.4771212547196624,846.1292848140566,2.947368421052632,13.59656574800973,46.5,1170.359375,2009.0,Physics,0.5708811560558303,SBERT
