density_bin,freq,count,log_cpy entropy,log_cpy variance,log_cpy median,cpy_var,cpy_med,cpy_mean,ref_med,ref_var,year_med,field,log_cpy_var
36.074,0.0011698011338072529,13,254.24348636659826,0.5889986421878588,0.3646990755333585,737.9015186158896,2.3157894736842106,11.94972243958312,46.0,478.6863905325444,2008.0,Physics,0.5889986421878588
36.289,0.000989831728606137,11,568.4967081037283,0.17113014324228806,0.9030899869919435,59.475001809007146,8.0,10.65720244667613,54.0,3361.5371900826444,2013.0,Physics,0.17113014324228806
36.829,0.000989831728606137,11,,0.05423412908256997,0.7720340221751378,54.50608251803988,5.6,7.86668952705049,38.0,12081.652892561986,2006.0,Physics,0.05423412908256997
37.045,0.0012597858364078107,14,,0.2965118407202711,0.8446693555660401,103.24520272141051,6.0735294117647065,8.47025612477846,37.0,1454.3469387755101,2005.5,Physics,0.2965118407202711
37.207,0.000989831728606137,11,287.75661183869136,0.5348239648994622,0.24303804868629444,156.2037849245912,1.75,9.18023088023088,55.0,3588.7933884297513,2011.0,Physics,0.5348239648994622
37.314,0.0010798164312066949,12,,0.3368326447988811,0.8676115249209164,891.1639726610814,5.0,14.927911821294176,46.5,3226.75,2010.0,Physics,0.3368326447988811
37.638,0.0011698011338072529,13,,0.3324059020824572,0.8905184693105659,1382.2628110534156,6.0,20.44896214896215,26.0,6649.9408284023675,2011.0,Physics,0.3324059020824572
37.746,0.0012597858364078107,14,,0.12965766584339725,0.5439013797930483,41.42038616862407,3.107142857142857,6.400707124955246,52.5,535.9591836734693,2010.0,Physics,0.12965766584339725
37.8,0.0011698011338072529,13,240.83904949924053,0.8143333492304529,0.07058107428570728,166.31098175449537,1.1764705882352942,8.075492511114089,38.0,700.2366863905326,2008.0,Physics,0.8143333492304529
37.854,0.000989831728606137,11,400.54416863340305,0.27070889817639465,0.6471383660631504,36.51783265090594,4.4375,6.629841482047365,40.0,1753.4214876033054,2013.0,Physics,0.27070889817639465
37.962,0.0012597858364078107,14,,0.3733724999248779,0.8532925186295284,191.83590156815464,5.261111111111111,9.011158083341298,30.0,1950.6581632653058,2006.5,Physics,0.3733724999248779
38.07,0.000989831728606137,11,326.14241888180914,0.31626190737337656,0.7359535705891888,11.704177046705901,5.444444444444445,5.5358187134502925,27.0,610.8099173553719,2010.0,Physics,0.31626190737337656
38.178,0.000989831728606137,11,439.6698871867936,0.37027530599756614,0.6488033948702886,1745.3170682825473,4.454545454545454,22.830527048708866,60.0,472.7933884297521,2009.0,Physics,0.37027530599756614
38.285,0.000989831728606137,11,,0.11992707536820335,0.5141556877022477,7.655648413978105,3.2222222222222223,3.0969794094794096,43.0,1249.2396694214874,2010.0,Physics,0.11992707536820335
38.339,0.000989831728606137,11,306.2207397464142,0.18217003321148642,0.6434526764861874,88.23497219176853,4.4,7.074189261031367,49.0,2267.8347107438017,2008.0,Physics,0.18217003321148642
38.501,0.0011698011338072529,13,,0.20662735003633556,0.632605513818743,18.837532602394088,3.25,4.922964659047655,40.0,2502.059171597634,2009.0,Physics,0.20662735003633556
38.555,0.0014397552416089265,16,,0.1661641629696697,0.5593080109070125,33.34721662960828,3.0982142857142856,5.6669033478776125,37.0,8222.08984375,2010.0,Physics,0.1661641629696697
38.609,0.0013497705390083687,15,,0.6102670451236402,0.7196663469151314,552.1690689443133,5.0,16.254816017316013,64.0,1195.4488888888886,2011.0,Physics,0.6102670451236402
38.663,0.0014397552416089265,16,,0.20610922233118967,0.6434526764861874,49.84307141582541,4.052941176470588,6.208353790655939,39.5,7235.40234375,2005.5,Physics,0.20610922233118967
38.717,0.000989831728606137,11,295.9205861939487,0.5227563408876399,0.6842467475153124,1211.3199464143695,4.833333333333333,17.206999562185327,61.0,2683.7190082644624,2011.0,Physics,0.5227563408876399
38.825,0.0015297399442094845,17,,0.3464973164353314,0.8020329870127805,342.3500965952568,5.833333333333333,10.59786194703332,56.0,6589.868512110726,2007.0,Physics,0.3464973164353314
38.933,0.0012597858364078107,14,293.91576283732826,0.3494199982384592,0.9012728446643965,42.125943869236,8.033333333333333,9.133053037188375,38.0,1207.1683673469386,2010.0,Physics,0.3494199982384592
39.041,0.000989831728606137,11,437.94768040074615,0.1726280655696386,0.7781512503836436,48.33169649528702,6.0,8.221622598247984,52.0,969.7190082644629,2006.0,Physics,0.1726280655696386
39.149,0.0011698011338072529,13,338.26625576709097,0.42532118063181973,0.8573324964312685,409.04412603809755,7.2,15.38608122646584,27.0,13908.331360946742,2008.0,Physics,0.42532118063181973
39.203,0.000989831728606137,11,278.4356777110341,0.2904329700057205,0.8750612633917001,25.966975103226492,7.5,6.693166197173374,44.0,559.5206611570248,2009.0,Physics,0.2904329700057205
