,density,edginess,citations_per_year
0,34.91722964996979,0.7009732723236084,1.0
2,33.9354271617087,0.6405004262924194,1.6666666666666667
3,32.35644864486997,0.7439439296722412,1.0
4,34.28316568325249,0.6367590427398682,8.0
5,28.549932224138416,0.7217010855674744,2.0
7,36.78964182188559,0.6891326904296875,1.0
8,31.48206967032869,0.6353212594985962,12.0
9,27.63387725281833,0.7093913555145264,2.0
10,28.04223915491604,0.7044816017150879,3.6666666666666665
11,34.6138762162901,0.6363592743873596,18.666666666666668
13,33.48909059810677,0.6373807191848755,21.272727272727273
14,32.88539507979903,0.6775831580162048,0.5
17,40.58710105458093,0.6472238302230835,0.3333333333333333
19,28.321563008736955,0.6839003562927246,0.2
20,33.41284506902003,0.6288132667541504,3.5
21,29.130856777916865,0.7483692169189453,0.2857142857142857
22,34.99367824408126,0.6865977048873901,2.3333333333333335
24,28.329591309916452,0.7221987247467041,6.0
25,31.53234545817412,0.6879291534423828,18.0
26,22.07328563425302,0.7284271121025085,10.24
28,26.12147997757197,0.6730997562408447,3.5
30,33.36749685527399,0.7169460654258728,1.4444444444444444
32,30.93544496327074,0.7336568236351013,0.25
33,33.97120346328893,0.6746916174888611,2.0
34,33.04686926580516,0.69171541929245,5.217391304347826
35,35.09270079992031,0.6051731109619141,1.0
36,33.81080879723166,0.6573551297187805,0.6666666666666666
38,28.300375341610206,0.6814417243003845,3.0
39,36.84345405130789,0.6993228197097778,1.5
40,34.150592489859385,0.6122145652770996,0.6666666666666666
41,25.34528445474236,0.7035291194915771,10.727272727272727
43,33.637889706730505,0.634324848651886,0.16666666666666666
45,35.71058583899114,0.6902313828468323,1.6
49,28.502950313411404,0.5957198739051819,4.333333333333333
50,27.252275223806652,0.7683643698692322,2.0
51,24.924533485782497,0.6895899176597595,3.5
53,37.96266630160947,0.6835078597068787,2.9
54,22.552961878094322,0.6911832094192505,17.666666666666668
56,26.55840132418291,0.7085339426994324,0.6
57,29.337942556157962,0.6904369592666626,1.0625
