lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,mu_beta.1,mu_beta.2,mu_beta.3,sigma_beta.1,sigma_beta.2,sigma_beta.3,log_p
# Adaptation terminated
# Step size = 0.450293
# Diagonal elements of inverse mass matrix:
# 2.49398e-05, 1.76236e-05, 0.000106132, 0.000133257, 0.000104408, 0.000154417, 0.000126052, 0.000117929, 0.000182, 0.000162306, 0.000150301, 0.000119978, 0.000115509, 0.0001211, 0.000140511, 0.000142677, 0.000117494, 0.000153049, 0.00014483, 0.000109821, 0.000211834, 0.000126179, 0.000147683, 0.000235632, 0.000224382, 0.000192325, 0.000169728, 0.000151106, 0.000130977, 0.00237646, 0.00110929, 0.000635113, 0.0905383, 0.0806219, 0.0786611
-33368.6,0.523712,0.450293,3,7,0,33394.3,-0.00709284,0.971239,0.130106,-0.0595342,0.250637,0.101769,0.307006,0.15749,0.0576928,0.0763654,0.231042,0.144968,-0.0577144,0.109524,0.0686182,-0.0381206,0.177702,0.0742481,0.153144,0.167029,0.0501998,0.049886,0.0428595,0.0233959,0.0686597,0.0204632,0.178581,-0.0479034,0.039557,0.119476,0.149609,-0.0497719,0.127758,0.107416,0.147361,-33687.9
-33368.3,0.875798,0.450293,3,7,0,33383.8,-0.0125657,0.971006,0.142825,-0.0461888,0.251731,0.126704,0.319762,0.14481,0.0822904,0.0783039,0.258905,0.131875,-0.0498955,0.0896801,0.0896925,-0.00234611,0.165063,0.0608994,0.159628,0.134411,0.0412878,0.0639296,0.00583297,0.0321835,0.0541993,-0.0117073,0.187492,-0.0420103,0.0709533,0.158839,0.0396654,0.0914505,0.108621,0.0693476,0.0447088,-33711.6
-33373.3,1,0.450293,3,7,0,33386.4,-0.00417284,0.974208,0.134955,-0.0646956,0.273384,0.113622,0.296186,0.161701,0.0602572,0.0676128,0.247703,0.139045,-0.0768704,0.105594,0.0821911,-0.010676,0.178469,0.0765178,0.146549,0.165634,0.0549043,0.0694657,0.0136589,0.0213359,0.0477594,-0.00530414,0.16958,-0.0232512,0.0291065,0.114298,0.147522,0.0510422,0.121983,0.0866078,0.21393,-33696.3
-33369.5,0.918978,0.450293,3,7,0,33392.7,-0.0150044,0.971438,0.14414,-0.0509444,0.24812,0.105212,0.312401,0.134637,0.0688631,0.0929934,0.259495,0.140719,-0.0377521,0.0793999,0.0852834,-0.0124581,0.156687,0.0734986,0.155299,0.137443,0.0271254,0.0454022,0.0323037,0.0365424,0.0643825,0.0129044,0.181591,-0.0520933,0.0624484,0.156456,0.139928,-0.0106717,0.138821,0.184023,0.0920542,-33689
-33367.6,0.8537,0.450293,3,7,0,33388.1,-0.00285907,0.973536,0.127869,-0.0268891,0.265318,0.119147,0.314249,0.154244,0.0728588,0.0568982,0.252685,0.125244,-0.0608031,0.0957277,0.0875794,-0.0145351,0.170363,0.0674604,0.168555,0.15052,0.0563265,0.0438684,0.0240813,0.000801403,0.0530947,0.00281736,0.195148,-0.0627342,0.0696276,0.160924,0.101804,0.0205649,0.101222,0.105323,0.103877,-33708.6
-33366.7,0.943065,0.450293,3,7,0,33381.6,-0.015378,0.972673,0.156655,-0.0656596,0.259716,0.116757,0.312748,0.13187,0.0468335,0.0890613,0.238573,0.146951,-0.0555929,0.109659,0.0756858,-0.018531,0.167017,0.0706449,0.13498,0.152636,0.024747,0.0607333,-0.00332201,0.0283168,0.0582141,-0.00442947,0.165056,-0.040859,0.0370498,0.160004,0.0562258,0.017064,0.161722,0.0826934,0.063213,-33685
-33371.2,0.760512,0.450293,3,7,0,33387,-0.00817867,0.966257,0.115293,-0.0422266,0.249693,0.122357,0.321378,0.171225,0.0885587,0.0706026,0.259804,0.133358,-0.047745,0.0855804,0.0733143,-0.0170324,0.176653,0.0735915,0.165728,0.147868,0.0603187,0.0518945,0.0504079,0.0409197,0.0729105,0.0180588,0.193777,-0.0320198,0.0734985,0.147769,0.0791368,0.0638621,0.100871,0.119132,0.0473651,-33740
-33365.4,0.989227,0.450293,3,7,0,33389.6,-0.0100828,0.977705,0.145072,-0.0527744,0.257329,0.125411,0.301473,0.141832,0.0452206,0.0822926,0.24147,0.145785,-0.0482152,0.107452,0.0658259,-0.031747,0.160469,0.0673374,0.142361,0.152358,0.0371854,0.0445396,0.0266001,0.0423548,0.0675189,0.00648421,0.157963,-0.0381669,0.0286226,0.105226,0.0979594,0.0426643,0.147631,0.0600895,0.0610218,-33645.1
-33374.4,0.85291,0.450293,3,7,0,33387.2,-0.00568916,0.968421,0.142292,-0.0691118,0.22343,0.118126,0.330368,0.16125,0.0601163,0.0781383,0.273875,0.116867,-0.0537854,0.0991748,0.0845567,-0.00435312,0.189432,0.0709656,0.126866,0.140321,0.0687367,0.0584015,0.0345175,0.0246825,0.0576722,-0.00489683,0.199139,-0.0263884,0.0577871,0.185929,0.0697853,0.0529062,0.199122,0.0769534,0.0491482,-33739.7
-33364,1,0.450293,3,7,0,33387.1,-0.0109399,0.972652,0.144641,-0.0613673,0.235765,0.116854,0.310162,0.159869,0.0641618,0.050095,0.259638,0.141582,-0.0576696,0.122145,0.0772785,-0.0123337,0.179795,0.0746321,0.138759,0.142065,0.0500619,0.0635631,0.0451895,0.0317904,0.0641569,-0.00454855,0.180154,-0.0192602,0.0559305,0.171711,0.0783668,0.0335056,0.231069,0.0799978,0.0572005,-33704.2
