# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-05-12 01:25:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpeem7arw8/yy8fk3c1.json
# init = 2 (Default)
# random
#   seed = 13343
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den-asym_nNone/h-sems.h-nonsems/hreg-20250511202512_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.5.5,beta.6.5,beta.7.5,beta.8.5,beta.9.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.5.6,beta.6.6,beta.7.6,beta.8.6,beta.9.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.5.7,beta.6.7,beta.7.7,beta.8.7,beta.9.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.5.8,beta.6.8,beta.7.8,beta.8.8,beta.9.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.5.9,beta.6.9,beta.7.9,beta.8.9,beta.9.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.5.10,beta.6.10,beta.7.10,beta.8.10,beta.9.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.5.11,beta.6.11,beta.7.11,beta.8.11,beta.9.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.5.12,beta.6.12,beta.7.12,beta.8.12,beta.9.12,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,mu_beta.5,mu_beta.6,mu_beta.7,mu_beta.8,mu_beta.9,mu_beta.10,mu_beta.11,mu_beta.12,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,sigma_beta.5,sigma_beta.6,sigma_beta.7,sigma_beta.8,sigma_beta.9,sigma_beta.10,sigma_beta.11,sigma_beta.12,log_p
# Adaptation terminated
# Step size = 0.237513
# Diagonal elements of inverse mass matrix:
# 3.28934e-05, 2.29903e-05, 0.000141576, 0.000154941, 0.000212973, 0.000180508, 0.000237438, 0.000229205, 0.000343512, 0.00013279, 0.000149385, 0.000119079, 0.00015039, 0.000276605, 0.000258127, 0.000233169, 0.00025227, 0.000208215, 0.000358834, 0.000328343, 0.000429287, 0.000168705, 0.000149815, 0.000168602, 0.000192279, 0.000328486, 0.000408294, 0.000320892, 0.000402205, 0.000392437, 0.000630253, 0.000640921, 0.000684211, 0.000364518, 0.000138281, 0.000314865, 0.000300316, 0.000383296, 0.000189934, 0.000219732, 0.000273173, 0.000236389, 0.00289725, 0.000404127, 0.000470584, 0.000187323, 0.000141266, 0.00017585, 0.00021927, 0.000411042, 0.000290247, 0.000281035, 0.000187812, 0.000176826, 0.000297865, 0.000313191, 0.000467269, 0.000139685, 0.00013354, 0.000184503, 0.000284408, 0.000258634, 0.000232974, 0.000256583, 0.000292411, 0.00024503, 0.000240278, 0.000586798, 0.000393424, 0.000243455, 0.000142419, 0.000194362, 0.000207164, 0.000358686, 0.000560208, 0.000262537, 0.000197023, 0.00022878, 0.000239907, 0.000276084, 0.000331005, 0.000180509, 0.000134278, 0.000168225, 0.000157241, 0.000276901, 0.000303147, 0.000429218, 0.000383711, 0.000383753, 0.00356423, 0.000499612, 0.000695974, 0.000307933, 0.000164429, 0.000272298, 0.000261509, 0.000582404, 0.000453294, 0.000371623, 0.000328969, 0.000335576, 0.000601106, 0.000445305, 0.000797291, 0.000221317, 0.000147686, 0.000274835, 0.000261375, 0.000444765, 0.00204914, 0.00105201, 0.000532804, 0.000388727, 0.000607993, 0.00135555, 0.000660475, 0.000140831, 7.92065e-05, 0.000110995, 0.000111493, 0.000324691, 0.0937902, 0.0786435, 0.108147, 0.0945266, 0.155504, 0.0796951, 0.10837, 0.212886, 0.292265, 0.237323, 0.22282, 0.108725
-18173.1,0.935941,0.237513,4,15,0,18228.7,-0.000929146,0.963374,0.108702,-0.000811702,0.238795,0.101182,0.346825,0.147151,0.0449589,0.0749269,0.267202,0.175128,-0.0641422,0.0821749,0.0392137,0.0276292,0.170768,0.119381,0.173229,0.132949,-0.0435718,-0.0501988,-0.138268,-0.123102,0.0103922,-0.0527376,-0.0940456,0.00637747,-0.0211551,0.0551273,0.0787038,0.0575805,0.0116972,0.00994121,0.0163251,0.0614992,-0.024951,-0.0560906,-0.0216359,0.0490877,0.0422614,-0.0565406,-0.0115949,-0.0423505,-0.0539955,-0.000629363,0.0280997,0.0223102,0.0305173,-0.0121388,0.028468,0.0972175,0.0154932,0.21115,-0.034096,0.0839985,-0.0839151,-0.0136016,0.0112277,0.0292335,-0.122213,-0.0491157,-0.124941,-0.114016,-0.153002,-0.00262256,-0.0101733,0.0582804,-0.00978384,0.0013643,0.0127314,-0.00938212,-0.0383168,0.0170495,-0.0181458,-0.0353381,-0.01096,-0.00930249,0.00566848,0.00207679,-0.0105518,-0.0191846,-0.00920841,-0.0370148,-0.0678016,-0.0471318,-0.0660149,-0.054342,-0.033355,-0.0278711,-0.0405011,-0.0341537,-0.000459048,0.0026434,0.0387317,0.0207377,0.0544543,0.035204,0.0268026,0.0072172,0.0305756,-0.0695315,-0.0294701,-0.0866489,0.0271352,-0.0858539,-0.0811481,-0.0937506,0.0450261,-0.150372,0.170516,0.0756178,-0.035723,0.0328558,0.00428916,0.0488914,-0.0638816,0.00282103,-0.00854034,-0.0443202,0.0203637,-0.0645225,0.210074,0.136328,0.0675688,0.0512327,0.0366767,0.0681211,0.0579933,0.0270796,0.0172265,0.0136217,0.0305063,0.0562617,-19558
-18180.6,0.709939,0.237513,4,15,0,18248.3,-0.0145529,0.963437,0.133175,-0.0235426,0.230258,0.103247,0.320941,0.140666,0.0756521,0.0844106,0.204004,0.194174,-0.0332455,0.116245,0.0310089,0.03024,0.141425,0.105479,0.151065,0.218434,-0.0352451,-0.0451676,-0.101393,-0.201866,-0.0206479,-0.0145707,-0.0702621,-0.0393736,-0.0230042,0.0714498,0.0797263,0.0620993,0.0417877,-0.0150852,0.00663026,0.0739592,0.000433764,-0.0370262,-0.0374806,0.0820997,-0.00713412,-0.0572255,0.00590957,-0.0128059,-0.0552846,-0.0184372,-0.0497985,0.0270326,0.0198763,-0.0426482,0.0404201,0.0709107,-0.0121488,0.185545,-0.0151087,0.0575774,-0.0627369,-0.0131772,0.0479844,0.0869068,-0.101446,-0.0581763,-0.0917149,-0.112677,-0.0731042,0.000335253,-0.00809063,0.0285322,-0.0339754,0.0142986,0.0154617,0.0279249,-0.00629948,-0.0327508,-0.0441751,-0.0224334,0.0071809,0.00178359,-0.00195634,-0.031464,-0.00216389,0.0104005,-0.00184711,-0.0497037,-0.0656111,-0.0836945,0.0116388,-0.0842798,-0.00629396,-0.0324,-0.0378198,-0.0462693,0.0118759,0.00755752,-0.0205208,0.028229,0.0211948,-0.0306801,0.00486432,0.0498874,-0.00217181,-0.0454987,-0.00171022,-0.0505917,-0.0182507,-0.0468102,-0.0524501,-0.036016,-0.0138136,-0.112391,0.135287,0.111501,-0.0757442,0.0498204,0.00153334,0.0126886,-0.0393211,0.000331929,-0.00346964,-0.0340495,-0.00909879,-0.0496589,0.0950229,0.0628017,0.0529232,0.0587212,0.0579737,0.0763349,0.150814,0.0192872,0.0373157,0.0289575,0.0570864,0.0543269,-19566.3
-18167.7,0.994652,0.237513,4,15,0,18227.6,-0.0124074,0.958228,0.118343,-0.009101,0.240303,0.129738,0.334455,0.161068,0.0767898,0.0912205,0.218265,0.19362,-0.0566697,0.120809,0.0343812,0.0371163,0.148896,0.104856,0.162481,0.195566,-0.0301606,-0.0702593,-0.126968,-0.164632,-0.000905495,-0.0345291,-0.0731507,-0.0231855,-0.0278218,0.0752685,0.0985759,0.0572675,0.0113638,-0.0190232,0.00829767,0.0921846,0.00692702,-0.0207664,-0.0441225,0.0679748,0.0173743,-0.0565176,0.0253723,-0.010037,-0.048532,-0.0348138,-0.0421707,0.0281902,0.00167362,-0.0812245,0.0252928,0.0673846,-0.0497713,0.189421,0.0195791,0.0379251,-0.0829486,-0.0293252,0.0542594,0.0937328,-0.108065,-0.0552413,-0.0848851,-0.109481,-0.0752552,0.0087525,-0.00298803,0.046182,-0.00372354,0.0139034,0.0402952,0.0343249,-0.00961098,-0.0249537,-0.025551,-0.0356637,-0.011352,-0.00446304,0.00426695,-0.0177341,-0.00869206,-0.00782539,0.0076226,-0.0231277,-0.0687765,-0.0642983,-0.0115645,-0.0687487,-0.0168258,-0.0483642,-0.0612076,-0.0210879,0.0119894,-0.00707421,-0.0291554,0.0397186,0.0606601,-0.00684253,0.0152229,0.0268236,-0.00909811,-0.0694562,0.00280858,-0.0703646,0.00624774,-0.0581291,-0.0525916,-0.0680168,0.0123038,-0.126105,0.161702,0.112688,-0.0730381,0.0486786,-0.0438015,-0.00645539,-0.0623651,0.00373465,-0.00949983,-0.0388759,-0.00746795,-0.0652547,0.0804724,0.0742401,0.0662245,0.0676754,0.0371393,0.084487,0.0917416,0.0330776,0.0160817,0.030398,0.0263331,0.0364391,-19584.9
-18180.9,0.700495,0.237513,4,15,0,18242.4,-0.00476118,0.963746,0.114616,-0.0225113,0.233397,0.0928073,0.343171,0.133954,0.0588453,0.0546178,0.258154,0.177323,-0.0711537,0.0708738,0.0235179,0.00824458,0.168595,0.11119,0.141805,0.177094,-0.058747,-0.0352984,-0.0789149,-0.154997,-0.0238221,-0.0329311,-0.0959432,-0.0271197,-0.026984,0.0603482,0.0745109,0.098058,0.0510323,-0.000832016,0.0264069,0.0548863,-0.016979,-0.0598414,-0.0376683,0.0668026,0.0486667,-0.00241274,-0.0187666,-0.0176172,-0.0503736,0.102833,0.0386711,-0.00483114,0.0342568,-0.0370031,0.0266503,0.0942319,-0.0086621,0.229065,-0.0518399,0.0523752,-0.0819732,-0.0540344,0.0315855,0.0392842,-0.0776098,-0.0349226,-0.0708293,-0.105391,-0.124594,-0.00640811,-0.00784865,0.0458186,-0.0323931,0.0219715,0.0183133,-0.000610269,-0.0392784,0.000790566,-0.0350044,-0.0199179,-0.00742997,-0.00264344,-0.0108847,-0.0158149,0.00228,0.00118281,-0.0211584,-0.0544772,-0.0716273,-0.0458604,-0.0343572,-0.0892177,-0.00459901,-0.0132869,-0.0253208,-0.00520651,-0.000453847,0.00939992,0.00823944,0.0205639,0.0376919,-0.00177003,-0.00367991,0.00827898,-0.0226517,-0.0456951,0.00672005,-0.0358835,-0.0217457,-0.0451955,-0.0730524,-0.0666089,0.0351606,-0.112123,0.139796,0.18836,-0.0455658,0.0142766,0.0833632,0.0627647,-0.0585327,0.0090294,-0.00971962,-0.0324034,0.0113458,-0.0101968,0.202777,0.235488,0.0406188,0.0511737,0.105246,0.075784,0.0621464,0.0291104,0.0168285,0.0321786,0.0125217,0.0713352,-19576.1
-18171.8,0.9999,0.237513,4,15,0,18235.5,-0.0117856,0.956999,0.12306,-0.00231796,0.231013,0.117765,0.322413,0.159615,0.0621689,0.0851337,0.230135,0.177639,-0.0274523,0.111575,0.0440774,0.0275428,0.146261,0.115243,0.168162,0.179247,-0.0453541,-0.0840244,-0.136046,-0.145163,0.00564843,-0.037936,-0.0568555,-0.0324138,-0.0278237,0.0639642,0.0867268,0.0551147,2.56982e-05,-0.0034802,-0.00288588,0.0935999,-0.00291922,-0.0311845,-0.0405125,0.079367,0.0482005,-0.05306,0.0222436,-0.0221616,-0.0387827,0.0514834,-0.0132337,0.0313788,-0.00303954,-0.0567471,0.0381634,0.0848867,0.0120641,0.206896,-0.0150689,0.0985869,-0.0767853,-0.0221651,0.0213954,0.0674247,-0.157775,-0.0194489,-0.118913,-0.13785,-0.140166,0.012826,-0.0159997,0.0132046,-0.0131056,-0.00619334,0.0181519,0.0263894,-9.61461e-05,-0.014702,-0.0266317,-0.0247507,-0.0088266,-0.00541866,0.0036755,-0.0120317,-0.0264568,-0.0195905,0.0123436,-0.00835997,-0.0614483,-0.0468246,-0.00737167,-0.0452569,-0.0203584,-0.0324843,-0.0218239,-0.00979763,0.00687357,-0.000170541,-0.0318577,0.0481562,0.0520248,-0.00916362,0.0219693,0.0326165,0.0260386,-0.0372431,-0.0216061,-0.0860794,-0.0189231,-0.0974753,-0.0563335,-0.0904353,0.0180111,-0.160722,0.151717,0.0835318,-0.058971,0.0306612,-0.00968158,0.00178239,-0.0406445,-0.00124763,-0.0092019,-0.008303,0.0128142,-0.0842006,0.0817438,0.0509816,0.0742588,0.0467031,0.0398298,0.0892757,0.0707171,0.0184049,0.0143504,0.0341378,0.030914,0.053477,-19577.7
-18172.6,0.87163,0.237513,4,15,0,18241.3,-0.00504114,0.963971,0.118987,-0.0228302,0.21336,0.106614,0.362916,0.159516,0.0676398,0.0512402,0.245169,0.17251,-0.0440327,0.092626,0.0380475,0.0508712,0.147115,0.120139,0.116382,0.186085,-0.00903009,-0.0295921,-0.0800079,-0.157179,0.0166791,-0.0286126,-0.0623473,0.0450289,-0.0289781,0.0654806,0.0993407,0.0617504,0.057564,-0.0195278,-0.00189,0.0522722,0.0138034,-0.0573869,-0.0393554,0.0881108,0.0328034,-0.00710755,0.00266079,-0.0232052,-0.0439483,-0.0470706,0.00071804,0.0362066,0.0114798,-0.0663624,0.0440004,0.0952154,0.02288,0.221162,-0.013516,0.127825,-0.0708264,-0.0673551,0.044488,0.0614806,-0.158661,-0.0830411,-0.131573,-0.156655,-0.124548,0.0147611,0.00676507,0.037976,-0.00811465,0.0141328,0.0223812,-0.00551228,-0.0219863,0.00776654,-0.0453562,-0.0375449,-0.0129562,-0.000993852,-0.00171741,-0.0200113,0.0124264,-0.0189374,0.0222073,-0.0550099,-0.0827776,-0.0663361,-0.0277698,-0.0916446,-0.00857989,-0.0259014,-0.0228707,-0.024876,0.00814005,-0.0155637,0.0100362,0.0489109,0.0522646,0.0251423,0.0133417,0.0148019,0.0144271,-0.047089,-0.0108416,-0.0706714,-0.000952771,-0.0773189,-0.0947951,-0.0780414,-0.0100941,-0.131148,0.117819,0.118321,-0.0339925,0.0206063,0.0284403,0.0854103,-0.0958098,0.00638729,-0.00653782,-0.0408335,0.0267915,-0.0398535,0.151189,0.0882397,0.0458255,0.0475635,0.0717184,0.107593,0.10442,0.0164158,0.0235998,0.0299733,0.0191728,0.0593933,-19574.2
