1-MAPE,1-MAPE_descaled,alpha,beta[asym_BOW],"beta[asym_BOW_j,Economics]","beta[asym_BOW_j,Education]","beta[asym_BOW_j,Geology]","beta[asym_BOW_j,Linguistics]","beta[asym_BOW_j,Materials Science]","beta[asym_BOW_j,Mathematics]","beta[asym_BOW_j,Medicine]","beta[asym_BOW_j,Philosophy]","beta[asym_BOW_j,Physics]",beta[asym_GPT2],"beta[asym_GPT2_j,Economics]","beta[asym_GPT2_j,Education]","beta[asym_GPT2_j,Geology]","beta[asym_GPT2_j,Linguistics]","beta[asym_GPT2_j,Materials Science]","beta[asym_GPT2_j,Mathematics]","beta[asym_GPT2_j,Medicine]","beta[asym_GPT2_j,Philosophy]","beta[asym_GPT2_j,Physics]",beta[asym_SBERT],"beta[asym_SBERT_j,Economics]","beta[asym_SBERT_j,Education]","beta[asym_SBERT_j,Geology]","beta[asym_SBERT_j,Linguistics]","beta[asym_SBERT_j,Materials Science]","beta[asym_SBERT_j,Mathematics]","beta[asym_SBERT_j,Medicine]","beta[asym_SBERT_j,Philosophy]","beta[asym_SBERT_j,Physics]",beta[asym_SciBERT],"beta[asym_SciBERT_j,Economics]","beta[asym_SciBERT_j,Education]","beta[asym_SciBERT_j,Geology]","beta[asym_SciBERT_j,Linguistics]","beta[asym_SciBERT_j,Materials Science]","beta[asym_SciBERT_j,Mathematics]","beta[asym_SciBERT_j,Medicine]","beta[asym_SciBERT_j,Philosophy]","beta[asym_SciBERT_j,Physics]",beta[asym_Word2Vec],"beta[asym_Word2Vec_j,Economics]","beta[asym_Word2Vec_j,Education]","beta[asym_Word2Vec_j,Geology]","beta[asym_Word2Vec_j,Linguistics]","beta[asym_Word2Vec_j,Materials Science]","beta[asym_Word2Vec_j,Mathematics]","beta[asym_Word2Vec_j,Medicine]","beta[asym_Word2Vec_j,Philosophy]","beta[asym_Word2Vec_j,Physics]",beta[den_BOW],"beta[den_BOW_j,Economics]","beta[den_BOW_j,Education]","beta[den_BOW_j,Geology]","beta[den_BOW_j,Linguistics]","beta[den_BOW_j,Materials Science]","beta[den_BOW_j,Mathematics]","beta[den_BOW_j,Medicine]","beta[den_BOW_j,Philosophy]","beta[den_BOW_j,Physics]",beta[den_GPT2],"beta[den_GPT2_j,Economics]","beta[den_GPT2_j,Education]","beta[den_GPT2_j,Geology]","beta[den_GPT2_j,Linguistics]","beta[den_GPT2_j,Materials Science]","beta[den_GPT2_j,Mathematics]","beta[den_GPT2_j,Medicine]","beta[den_GPT2_j,Philosophy]","beta[den_GPT2_j,Physics]",beta[den_SBERT],"beta[den_SBERT_j,Economics]","beta[den_SBERT_j,Education]","beta[den_SBERT_j,Geology]","beta[den_SBERT_j,Linguistics]","beta[den_SBERT_j,Materials Science]","beta[den_SBERT_j,Mathematics]","beta[den_SBERT_j,Medicine]","beta[den_SBERT_j,Philosophy]","beta[den_SBERT_j,Physics]",beta[den_SciBERT],"beta[den_SciBERT_j,Economics]","beta[den_SciBERT_j,Education]","beta[den_SciBERT_j,Geology]","beta[den_SciBERT_j,Linguistics]","beta[den_SciBERT_j,Materials Science]","beta[den_SciBERT_j,Mathematics]","beta[den_SciBERT_j,Medicine]","beta[den_SciBERT_j,Philosophy]","beta[den_SciBERT_j,Physics]",beta[den_Word2Vec],"beta[den_Word2Vec_j,Economics]","beta[den_Word2Vec_j,Education]","beta[den_Word2Vec_j,Geology]","beta[den_Word2Vec_j,Linguistics]","beta[den_Word2Vec_j,Materials Science]","beta[den_Word2Vec_j,Mathematics]","beta[den_Word2Vec_j,Medicine]","beta[den_Word2Vec_j,Philosophy]","beta[den_Word2Vec_j,Physics]",beta[references],"beta[references_j,Economics]","beta[references_j,Education]","beta[references_j,Geology]","beta[references_j,Linguistics]","beta[references_j,Materials Science]","beta[references_j,Mathematics]","beta[references_j,Medicine]","beta[references_j,Philosophy]","beta[references_j,Physics]",beta[year],"beta[year_j,Economics]","beta[year_j,Education]","beta[year_j,Geology]","beta[year_j,Linguistics]","beta[year_j,Materials Science]","beta[year_j,Mathematics]","beta[year_j,Medicine]","beta[year_j,Philosophy]","beta[year_j,Physics]",log_ppd,metric_is_scaled,model,mu_beta[asym_BOW_j],mu_beta[asym_GPT2_j],mu_beta[asym_SBERT_j],mu_beta[asym_SciBERT_j],mu_beta[asym_Word2Vec_j],mu_beta[den_BOW_j],mu_beta[den_GPT2_j],mu_beta[den_SBERT_j],mu_beta[den_SciBERT_j],mu_beta[den_Word2Vec_j],mu_beta[references_j],mu_beta[year_j],rmse,sigma,sigma_beta[asym_BOW_j],sigma_beta[asym_GPT2_j],sigma_beta[asym_SBERT_j],sigma_beta[asym_SciBERT_j],sigma_beta[asym_Word2Vec_j],sigma_beta[den_BOW_j],sigma_beta[den_GPT2_j],sigma_beta[den_SBERT_j],sigma_beta[den_SciBERT_j],sigma_beta[den_Word2Vec_j],sigma_beta[references_j],sigma_beta[year_j],y_col,metric_type,metric,y_pred_is_scaled
-0.6282791556876566,-63054991524674.18,-0.0093327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06201855,-0.0551997,-0.0966884,-0.13252,-0.0139078,-0.0113832,-0.05521255,-0.08499935,0.0136216499999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1367835,-0.05142115,0.276478,0.1196095,0.3094955,0.1513535,0.0513629,0.09388085,0.247108,,0.150302,-0.02866105,0.100909,0.07783215,0.004411865,0.1731665,0.133491,0.140892,0.1633,-34169.85723773861,False,h-den_BOW_j.h-nonsems,,,,,,-0.0547885,,,,,0.147148,0.1020885,0.9666521911930888,0.972745,,,,,,0.05271465,,,,,0.128678,0.08074385,log_cpy_j,$R^2$,0.0482797020792508,True
-0.5629734783332805,-62862256404064.01,-0.00463212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08555265,0.107492,0.0683364499999999,0.0749399,0.0193540499999999,0.007583355,0.0915160999999999,-0.00800313,-0.0195919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141375,-0.0468074,0.263215,0.1212075,0.307718,0.1508505,0.01429275,0.0875489,0.272683,,0.1405239999999999,-0.0538770499999999,0.090344,0.0562152999999999,-8.637795e-05,0.1708605,0.05555905,0.13735,0.129723,-34477.27978899905,False,h-den_GPT2_j.h-nonsems,,,,,,,0.0476128,,,,0.144658,0.08130465,0.966865942168194,0.975252,,,,,,,0.0546795,,,,0.134577,0.0830387,log_cpy_j,$R^2$,0.0478587572235551,True
-0.565191633858046,-63643149423658.06,0.00457357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0146882,0.05291645,0.07672955,-0.000393455,0.0250992999999999,0.00659726,-0.0845260499999999,-0.00400847,-0.02503935,,,,,,,,,,,,,,,,,,,,,,0.118504,-0.06435845,0.235236,0.1176685,0.308449,0.1481835,0.009161695,0.0600104999999999,0.2759305,,0.1233875,-0.05501765,0.0991528,0.0682676,-0.005816305,0.1691225,0.08306545,0.139784,0.131023,-34429.697857548905,False,h-den_SBERT_j.h-nonsems,,,,,,,,0.004323095,,,0.1335,0.0839720499999999,0.968392806963215,0.978851,,,,,,,,0.0534749999999999,,,0.1390315,0.08225725,log_cpy_j,$R^2$,0.0448491593343058,True
-0.5662835096276644,-62692470727528.32,-0.00922945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0445718499999999,0.0589381999999999,0.02272665,0.0313875,0.0628465,0.004673275,0.1825995,-0.0392583,0.0515829,,,,,,,,,,,,0.1381925,-0.05075965,0.2541105,0.1174835,0.3137295,0.1507365,0.0714752,0.07880385,0.2453685,,0.1385914999999999,-0.0559231,0.0971603,0.07709765,-0.0203706499999999,0.1719135,0.06460945,0.151758,0.153297,-33632.69070802465,False,h-den_SciBERT_j.h-nonsems,,,,,,,,,0.04540685,,0.145747,0.08583205,0.9654211212776512,0.972766,,,,,,,,,0.06781015,,0.126178,0.0901972,log_cpy_j,$R^2$,0.0507022655948854,True
-0.5910989380928313,-63279400541807.14,-0.008156425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0514171499999999,-0.01923985,0.03681255,0.0184307999999999,-0.02166,-0.004075715,-0.0264692,-0.1231569999999999,-0.00136147,,0.1384935,-0.0489516,0.258189,0.114079,0.309852,0.151554,0.0516584999999999,0.0986522,0.2480325,,0.1522835,-0.033729,0.09437985,0.07927275,0.01189395,0.1714375,0.131167,0.1551,0.1634884999999999,-34061.636798127736,False,h-den_Word2Vec_j.h-nonsems,,,,,,,,,,-0.02150315,0.1471095,0.1020875,0.9681249495428044,0.9734455,,,,,,,,,,0.05299455,0.126776,0.08239805,log_cpy_j,$R^2$,0.0453774756439476,True
-0.5694442837680369,-62954915069766.12,-0.0077556599999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115535,-0.04094705,0.2549625,0.1011655,0.320549,0.1442284999999999,0.00849775,0.0940933499999999,0.2329755,,0.139648,-0.03442385,0.0882674,0.0672614,0.000490099,0.159462,0.1170815,0.134421,0.1747935,-19179.956259951166,False,h-BOW-SciBERT.h-nonsems,,,,,,,,,,,0.1372249999999999,0.0941746,0.9684529957746382,0.9755265,,,,,,,,,,,0.1313794999999999,0.0810766,log_cpy_j,$R^2$,0.0447304240855638,True
-0.6292660538435149,-62296318392524.63,-0.0088211649999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0392262,-0.047234,-0.114007,-0.1626195,-0.00567075,-0.03807375,-0.07474025,-0.0167262,0.0119966999999999,,0.0649682,0.0736418,0.0578595499999999,0.02935475,0.0015614449999999,-0.005104425,0.0509762,-0.0003804365,-0.0377408,,-0.0091372,0.0939783,0.04015485,-0.01999045,0.0140368,-0.00892373,-0.06250955,0.0582662,-0.0199794999999999,,0.017405,0.01793215,-0.03526685,0.0144689,0.0627746,-0.009044545,0.218504,-0.0191761,0.0879596,,-0.03353925,-0.0369467,0.0618429,0.07668425,-0.0567207,0.00826911,-0.0622292,-0.119458,-0.0332048499999999,,0.1215615,-0.0320818,0.253341,0.10448,0.3351845,0.145192,0.03303035,0.0991471,0.2360114999999999,,0.147343,-0.05139515,0.0802712,0.03395715,-0.006515585,0.164465,0.0902708,0.157635,0.1765225,-19326.52665078585,False,den_h-sems.h-nonsems,,,,,,-0.05416345,0.0256684,0.009414495,0.04056945,-0.0221641,0.144451,0.0883111,0.9633679161525568,0.9668385,,,,,,0.0649154,0.0455769,0.06156845,0.0893105999999999,0.07231645,0.1298225,0.09383385,log_cpy_j,$R^2$,0.0547358014426506,True
-0.2171980838434244,-72122882647560.19,-0.01549685,0.0917419999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-34017.57192097229,False,asym_BOW,,,,,,,,,,,,,0.9970563172575836,0.9961435,,,,,,,,,,,,,log_cpy,$R^2$,-0.0067371259231856,True
-0.0539300629189005,-72251326554460.34,-0.01283925,,,,,,,,,,,-0.0173366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-34176.52706826871,False,asym_GPT2,,,,,,,,,,,,,0.999927365419238,1.00566,,,,,,,,,,,,,log_cpy,$R^2$,0.0001943718879044,True
-0.0395309308157678,-73368203070367.08,0.000769445,,,,,,,,,,,,,,,,,,,,,-0.024265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33896.05067365016,False,asym_SBERT,,,,,,,,,,,,,0.9999681397854532,1.00478,,,,,,,,,,,,,log_cpy,$R^2$,0.0013403328777383,True
