density,edginess,citations_per_year,librarian,vectorizer,center,fields_of_study_0
622.5842219721719,0.7212315797805786,8.857142857142858,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1783.6579951988294,0.5281001329421997,59.7,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1768.0115681116206,0.5908179879188538,20.416666666666668,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1408.798826177912,0.4871375858783722,1.0,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1858.0971019953824,0.5522584915161133,14.25,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1485.61542208532,0.4350605905056,11.333333333333334,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
2020.5561022023403,0.8708896636962891,3.3333333333333335,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1733.047097678829,0.9039601683616638,11.833333333333334,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1846.2618698454996,0.4849507510662079,6.666666666666667,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1121.945438424416,0.6182481646537781,1.25,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1683.1728445524157,0.8896578550338745,2.6666666666666665,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1325.643297537348,0.8519734144210815,4.0,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1759.072339687442,0.5878089666366577,21.307692307692307,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1861.0916527453855,0.7519593238830566,14.333333333333334,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1490.2173325912838,0.5582535266876221,10.833333333333334,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1876.284542137216,0.8879386186599731,7.333333333333333,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
503.3577907311846,0.6056467294692993,31.8,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1638.3934375262857,0.9718188047409058,31.294117647058822,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
959.4062617204262,0.5333754420280457,56.8,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1213.2048812165924,0.6298883557319641,11.692307692307692,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1566.603228540336,0.5330544114112854,4.0,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
857.7122087026399,0.5624720454216003,16.083333333333332,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1856.6051429002468,0.4992595911026001,2.0,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1703.5209591193502,0.7768500447273254,0.0,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1684.2842226758344,0.7892535328865051,5.166666666666667,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1557.7271684466268,0.4975954592227936,1.1666666666666667,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1035.6871190708646,0.769469678401947,17.846153846153847,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1256.5869233068734,0.6465372443199158,3.142857142857143,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1380.998884903236,0.7575263977050781,63.61538461538461,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1589.474709210882,0.608711838722229,7.0,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1523.673993010558,0.5317975878715515,12.181818181818182,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1504.2838428352902,0.8071975111961365,28.857142857142858,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1453.122624775591,0.8457151055335999,5.416666666666667,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1994.191632828219,0.8251433968544006,6.25,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1336.626624669196,0.8468599319458008,5.846153846153846,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1294.249989528398,0.6634829044342041,7.666666666666667,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1711.6358934174746,0.525922417640686,20.8,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1358.269483824413,0.5179815888404846,2.636363636363636,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
442.06071397620326,0.8786883354187012,57.84615384615385,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1402.9758981931525,0.5969008207321167,2.5,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1990.508882916287,0.4013566076755523,8.25,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1533.6546638677405,0.4739005267620086,4.125,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1907.8212364552544,0.4516719579696655,4.363636363636363,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1671.091089164769,0.5237459540367126,6.0,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1530.306052317447,0.74974125623703,5.0,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1211.1313536237212,0.8169889450073242,2.6923076923076925,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1626.2419887330295,0.7701475620269775,29.25,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1783.6579951988294,0.5212571024894714,17.0,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1550.7339083729528,0.6687288284301758,20.833333333333332,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1687.6314907754224,0.5343167185783386,15.1,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1393.429466423569,0.7444429993629456,22.130434782608695,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
2028.282978562137,0.5531255006790161,4.0,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1624.2429258151176,0.6824132204055786,3.909090909090909,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
776.2263807830549,0.9817013740539552,3.6,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1490.2173325912838,0.7183851003646851,2.7,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
1030.2974640156276,0.6127271056175232,11.0,S2,GPT2,hafenLowredshiftLymanLimit2017,Physics
