model,alpha,beta[den_BOW],"beta[den_BOW_j,Economics]","beta[den_BOW_j,Education]","beta[den_BOW_j,Geology]","beta[den_BOW_j,Linguistics]","beta[den_BOW_j,Materials Science]","beta[den_BOW_j,Mathematics]","beta[den_BOW_j,Medicine]","beta[den_BOW_j,Philosophy]","beta[den_BOW_j,Physics]",beta[den_GPT2],"beta[den_GPT2_j,Economics]","beta[den_GPT2_j,Education]","beta[den_GPT2_j,Geology]","beta[den_GPT2_j,Linguistics]","beta[den_GPT2_j,Materials Science]","beta[den_GPT2_j,Mathematics]","beta[den_GPT2_j,Medicine]","beta[den_GPT2_j,Philosophy]","beta[den_GPT2_j,Physics]",beta[den_SBERT],"beta[den_SBERT_j,Economics]","beta[den_SBERT_j,Education]","beta[den_SBERT_j,Geology]","beta[den_SBERT_j,Linguistics]","beta[den_SBERT_j,Materials Science]","beta[den_SBERT_j,Mathematics]","beta[den_SBERT_j,Medicine]","beta[den_SBERT_j,Philosophy]","beta[den_SBERT_j,Physics]",beta[den_SciBERT],"beta[den_SciBERT_j,Economics]","beta[den_SciBERT_j,Education]","beta[den_SciBERT_j,Geology]","beta[den_SciBERT_j,Linguistics]","beta[den_SciBERT_j,Materials Science]","beta[den_SciBERT_j,Mathematics]","beta[den_SciBERT_j,Medicine]","beta[den_SciBERT_j,Philosophy]","beta[den_SciBERT_j,Physics]",beta[den_Word2Vec],"beta[den_Word2Vec_j,Economics]","beta[den_Word2Vec_j,Education]","beta[den_Word2Vec_j,Geology]","beta[den_Word2Vec_j,Linguistics]","beta[den_Word2Vec_j,Materials Science]","beta[den_Word2Vec_j,Mathematics]","beta[den_Word2Vec_j,Medicine]","beta[den_Word2Vec_j,Philosophy]","beta[den_Word2Vec_j,Physics]",beta[references],"beta[references_j,Economics]","beta[references_j,Education]","beta[references_j,Geology]","beta[references_j,Linguistics]","beta[references_j,Materials Science]","beta[references_j,Mathematics]","beta[references_j,Medicine]","beta[references_j,Philosophy]","beta[references_j,Physics]",beta[year],"beta[year_j,Economics]","beta[year_j,Education]","beta[year_j,Geology]","beta[year_j,Linguistics]","beta[year_j,Materials Science]","beta[year_j,Mathematics]","beta[year_j,Medicine]","beta[year_j,Philosophy]","beta[year_j,Physics]",log_ppd,mu_beta[den_BOW_j],mu_beta[den_GPT2_j],mu_beta[den_SBERT_j],mu_beta[den_SciBERT_j],mu_beta[den_Word2Vec_j],mu_beta[references_j],mu_beta[year_j],sigma,sigma_beta[den_BOW_j],sigma_beta[den_GPT2_j],sigma_beta[den_SBERT_j],sigma_beta[den_SciBERT_j],sigma_beta[den_Word2Vec_j],sigma_beta[references_j],sigma_beta[year_j],y_col,rmse,$R^2$,1-MAE,1-RMSE,1-MAPE,1-MedAE,1-MPinL,$D^2_{pin}$,$D^2_{abs}$,$R^2$_descaled,1-MAE_descaled,1-RMSE_descaled,1-MAPE_descaled,1-MedAE_descaled,1-MPinL_descaled,$D^2_{pin}$_descaled,$D^2_{abs}$_descaled,beta[asym_BOW],"beta[asym_BOW_j,Economics]","beta[asym_BOW_j,Education]","beta[asym_BOW_j,Geology]","beta[asym_BOW_j,Linguistics]","beta[asym_BOW_j,Materials Science]","beta[asym_BOW_j,Mathematics]","beta[asym_BOW_j,Medicine]","beta[asym_BOW_j,Philosophy]","beta[asym_BOW_j,Physics]",beta[asym_GPT2],"beta[asym_GPT2_j,Economics]","beta[asym_GPT2_j,Education]","beta[asym_GPT2_j,Geology]","beta[asym_GPT2_j,Linguistics]","beta[asym_GPT2_j,Materials Science]","beta[asym_GPT2_j,Mathematics]","beta[asym_GPT2_j,Medicine]","beta[asym_GPT2_j,Philosophy]","beta[asym_GPT2_j,Physics]",beta[asym_SBERT],"beta[asym_SBERT_j,Economics]","beta[asym_SBERT_j,Education]","beta[asym_SBERT_j,Geology]","beta[asym_SBERT_j,Linguistics]","beta[asym_SBERT_j,Materials Science]","beta[asym_SBERT_j,Mathematics]","beta[asym_SBERT_j,Medicine]","beta[asym_SBERT_j,Philosophy]","beta[asym_SBERT_j,Physics]",beta[asym_SciBERT],"beta[asym_SciBERT_j,Economics]","beta[asym_SciBERT_j,Education]","beta[asym_SciBERT_j,Geology]","beta[asym_SciBERT_j,Linguistics]","beta[asym_SciBERT_j,Materials Science]","beta[asym_SciBERT_j,Mathematics]","beta[asym_SciBERT_j,Medicine]","beta[asym_SciBERT_j,Philosophy]","beta[asym_SciBERT_j,Physics]",beta[asym_Word2Vec],"beta[asym_Word2Vec_j,Economics]","beta[asym_Word2Vec_j,Education]","beta[asym_Word2Vec_j,Geology]","beta[asym_Word2Vec_j,Linguistics]","beta[asym_Word2Vec_j,Materials Science]","beta[asym_Word2Vec_j,Mathematics]","beta[asym_Word2Vec_j,Medicine]","beta[asym_Word2Vec_j,Philosophy]","beta[asym_Word2Vec_j,Physics]",mu_beta[asym_BOW_j],mu_beta[asym_GPT2_j],mu_beta[asym_SBERT_j],mu_beta[asym_SciBERT_j],mu_beta[asym_Word2Vec_j],sigma_beta[asym_BOW_j],sigma_beta[asym_GPT2_j],sigma_beta[asym_SBERT_j],sigma_beta[asym_SciBERT_j],sigma_beta[asym_Word2Vec_j],is_good_model
den_SciBERT.nonsems,-0.00961911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019102,,,,,,,,,,,,,,,,,,,,0.1578244999999999,,,,,,,,,,0.1320315,,,,,,,,,,-32671.691718096547,,,,,,,,0.981646,,,,,,,,log_cpy,0.970741841524621,0.0297029550880005,0.233811865926943,0.0239592990360519,-0.6477283027084748,0.3684327862843017,0.6169059329634715,0.0197802233981672,0.0197802233981672,0.0462921791329475,0.4817379845013469,0.3436468216569607,-76518475406379.69,0.5725997778245757,0.7408689922506735,0.0242792079513185,0.0242792079513185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
den_Word2Vec.nonsems,-0.0121386999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003337655,,,,,,,,,,0.1611925,,,,,,,,,,0.1329665,,,,,,,,,,-33085.13932553603,,,,,,,,0.980739,,,,,,,,log_cpy,0.9708970033657508,0.0289347578512887,0.2335265116931465,0.0235730031965523,-0.6495442929721771,0.3679624719668716,0.6167632558465732,0.0194151565811995,0.0194151565811995,0.0459872764669145,0.4815633261441892,0.3435419112026805,-76291051301313.64,0.5722550573740928,0.7407816630720946,0.0239503824046113,0.0239503824046113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
den_sems.nonsems,-0.0154672499999999,0.0544343,,,,,,,,,,0.1128695,,,,,,,,,,0.1509995,,,,,,,,,,-0.0427157,,,,,,,,,,-0.06474805,,,,,,,,,,0.141919,,,,,,,,,,0.1199645,,,,,,,,,,-18690.908548837764,,,,,,,,0.981428,,,,,,,,log_cpy,0.9715335018375382,-0.0007080265417442,0.2256283649088932,0.0087818050797188,-0.8608577278901244,0.3576123384673312,0.6128141824544466,0.0093106935490286,0.0093106935490286,0.0447360074219931,0.4845352907129442,0.3431115518866424,-74080228376535.98,0.5753233567985847,0.742267645356472,0.0295456364194675,0.0295456364194675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
h-nonsems,-0.00756134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1160585,-0.0412316999999999,0.255242,0.1007135,0.3205845,0.144774,0.008306495,0.0939393,0.2336555,,0.140066,-0.03397215,0.0872832,0.0669401,0.0003534935,0.159579,0.117033,0.1339719999999999,0.175018,-19174.5994663652,,,,,,0.1375965,0.09406095,0.9754635,,,,,,0.1318615,0.0824618,log_cpy_j,0.9684563311185804,0.0447238441935221,0.2413727032413634,0.0315436688814195,-0.5689838473223177,0.3748708554635962,0.6206863516206818,0.0294531508864402,0.0294531508864402,0.1628030927816154,0.5204251308784219,0.385044445972264,-62967994433708.27,0.6091925642044537,0.7602125654392109,0.0971146695060751,0.0971146695060751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
h-den_BOW_j,-0.0125239,,-0.04487655,-0.06081995,-0.0638621,-0.13221,0.03368485,0.0139547,-0.0302663,-0.07524295,0.02759555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33605.0531678645,-0.03712155,,,,,,,0.997849,0.0621361,,,,,,,log_cpy_j,0.9897691997227512,0.0022155704782585,0.2192703012025747,0.0102308002772486,-0.1054238696228189,0.3511605792160464,0.6096351506012874,0.0011765297468605,0.0011765297468605,0.1287807613691171,0.5073222786977507,0.3726734777117051,-58234461284376.586,0.5945771213155262,0.7536611393488754,0.0724462104535237,0.0724462104535237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
h-den_GPT2_j,-0.0075043149999999,,,,,,,,,,,,0.07850715,0.1079275,0.06347575,0.0794076,0.02499235,0.0230608,0.0954405,0.02422615,0.01093765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33915.28353606455,,0.0566148,,,,,,0.9992515,,0.0419267,,,,,,log_cpy_j,0.9893446463359262,0.0030713698027532,0.2196755908120249,0.0106553536640737,-0.1484093615183701,0.3527564118073872,0.6098377954060125,0.0016950354150734,0.0016950354150734,0.1298003816784588,0.5076092036734505,0.3730406769716957,-59010834771654.67,0.5964464016945038,0.7538046018367253,0.0729863979574815,0.0729863979574815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
h-den_SBERT_j,0.005822025,,,,,,,,,,,,,,,,,,,,,,0.009419135,0.0369059999999999,0.126628,0.007446095,0.07536055,0.0289201,-0.06695545,0.0028694849999999,0.0510047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33884.04699687196,,,0.0302464,,,,,1.002,,,0.06080085,,,,,log_cpy_j,0.9902628316803508,0.0012200634363351,0.2193386277707671,0.0097371683196493,-0.1148793251703552,0.3531443254822393,0.6096693138853836,0.0012639430732109,0.0012639430732109,0.1275056475497095,0.5072424750263012,0.3722145689727023,-59983461350938.17,0.5947777358832458,0.7536212375131506,0.0722959657911974,0.0722959657911974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
h-den_SciBERT_j,-0.01299615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0502101,0.0440134499999999,0.05350715,0.0397885,0.05604415,0.0046081149999999,0.19814,-0.0125672,0.1032595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33141.627062658066,,,,0.0595255499999999,,,,0.996357,,,,0.07018605,,,,log_cpy_j,0.9879640408938016,0.0058518058338351,0.2211113514633018,0.0120359591061984,-0.1297788234858554,0.3544795607838371,0.6105556757316509,0.0035318701587372,0.0035318701587372,0.1316885480290388,0.5084476516361219,0.373721237113457,-58323264397286.0,0.5950472148752337,0.7542238258180609,0.0745649259718146,0.0745649259718146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
h-den_Word2Vec_j,-0.0113058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02214085,-0.02647225,0.09934395,0.054305,0.04620875,0.0272290499999999,0.0173263,-0.09224095,0.08411085,,,,,,,,,,,,,,,,,,,,,-33514.43117987309,,,,,0.02087975,,,0.9973305,,,,,0.0685863499999999,,,log_cpy_j,0.9900200288439563,0.0017097856871184,0.2189080385520477,0.0099799711560436,-0.0792639946386923,0.3512745088397847,0.6094540192760238,0.00071307044936,0.00071307044936,0.1278504623560632,0.5070081624436745,0.372338633445424,-58314954574855.95,0.5936159740038891,0.7535040812218372,0.07185483051238,0.07185483051238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
h-den_BOW_j.h-nonsems,-0.0093327,,-0.06201855,-0.0551997,-0.0966884,-0.13252,-0.0139078,-0.0113832,-0.05521255,-0.08499935,0.0136216499999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1367835,-0.05142115,0.276478,0.1196095,0.3094955,0.1513535,0.0513629,0.09388085,0.247108,,0.150302,-0.02866105,0.100909,0.07783215,0.004411865,0.1731665,0.133491,0.140892,0.1633,-34169.85723773861,-0.0547885,,,,,0.147148,0.1020885,0.972745,0.05271465,,,,,0.128678,0.08074385,log_cpy_j,0.9666521911930888,0.0482797020792508,0.2434070001436994,0.0333478088069113,-0.6282791556876566,0.37791738617789,0.6217035000718497,0.0320557206293952,0.0320557206293952,0.1662472417299308,0.5217855572542198,0.3863106841236831,-63054991524674.18,0.6124253211361381,0.7608927786271099,0.0996759150946416,0.0996759150946416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
