# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-05-11 23:04:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpeem7arw8/bj7u9aft.json
# init = 2 (Default)
# random
#   seed = 80778
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den-asym_nNone/nonsems/multireg-20250511180408_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,sigma,beta.1,beta.2,log_p
# Adaptation terminated
# Step size = 0.550272
# Diagonal elements of inverse mass matrix:
# 2.07218e-05, 2.02027e-05, 1.8847e-05, 1.40014e-05
-49250,0.968351,0.550272,2,3,0,49251.1,0.00338433,0.153776,0.12145,0.98084,0.143515,0.122466,-48089.8
-49250.5,0.877264,0.550272,2,7,0,49252.1,-0.00471522,0.159197,0.12251,0.981696,0.149036,0.123535,-48093.9
-49249.1,0.886576,0.550272,2,3,0,49252.3,0.00335951,0.15768,0.124782,0.977987,0.147124,0.125826,-48093.7
-49249.9,0.808236,0.550272,2,3,0,49251.4,0.00274143,0.15935,0.123391,0.982291,0.14907,0.124423,-48093.8
-49248.8,0.998745,0.550272,2,3,0,49250.5,-0.000987171,0.157272,0.122916,0.98121,0.146963,0.123945,-48092
-49249.9,0.882942,0.550272,2,3,0,49250.5,-0.00521173,0.157146,0.123641,0.979726,0.146727,0.124676,-48092.7
-49250.3,0.830578,0.550272,3,7,0,49253.2,0.00597912,0.15829,0.124325,0.98024,0.147827,0.125365,-48093.9
-49249.8,0.560219,0.550272,2,3,0,49257.7,0.00143017,0.158162,0.118868,0.978658,0.148474,0.119863,-48094.3
-49251,0.736356,0.550272,2,3,0,49253.7,-0.00515299,0.158332,0.128324,0.979644,0.147298,0.129398,-48093.9
-49250.3,0.618214,0.550272,2,7,0,49257.1,0.00359505,0.154323,0.120676,0.977333,0.144198,0.121686,-48091.8
-49248.9,1,0.550272,2,3,0,49250.4,0.00159911,0.156363,0.121062,0.97926,0.146278,0.122075,-48092.2
-49251.3,0.784378,0.550272,3,7,0,49251.6,0.000830597,0.16028,0.129095,0.976418,0.149226,0.130175,-48097
-49252.2,0.847026,0.550272,2,3,0,49254.6,-0.00018024,0.154079,0.115834,0.979618,0.144637,0.116803,-48091.4
-49251.7,0.949697,0.550272,2,3,0,49255.1,-0.00507237,0.161682,0.120135,0.978833,0.151976,0.12114,-48097.6
