# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-05-11 23:04:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpeem7arw8/bj7u9aft.json
# init = 2 (Default)
# random
#   seed = 80778
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den-asym_nNone/nonsems/multireg-20250511180408_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,sigma,beta.1,beta.2,log_p
# Adaptation terminated
# Step size = 0.487147
# Diagonal elements of inverse mass matrix:
# 1.99146e-05, 1.88242e-05, 1.74792e-05, 1.43024e-05
-49252.1,0.864025,0.487147,2,7,0,49253.4,0.00482818,0.163646,0.122464,0.980693,0.153698,0.123488,-48098.8
-49253.3,0.953419,0.487147,3,7,0,49256,-0.000565159,0.149184,0.118412,0.978834,0.139146,0.119402,-48087.8
-49254.3,0.886485,0.487147,1,1,0,49254.6,0.000132731,0.148499,0.117615,0.978988,0.138543,0.118599,-48087.6
-49252.4,0.985976,0.487147,3,7,0,49256.2,0.00106538,0.163847,0.129152,0.978832,0.15295,0.130233,-48099.4
-49251.2,0.93374,0.487147,2,7,0,49254.7,-0.00112528,0.159008,0.124384,0.984292,0.14857,0.125425,-48093
-49248.5,0.856232,0.487147,1,3,0,49253.4,0.00137742,0.156762,0.122506,0.979486,0.146489,0.123531,-48092.2
-49248.9,0.800097,0.487147,3,7,0,49251.3,-0.00215237,0.156449,0.126008,0.980126,0.145659,0.127062,-48091.6
-49249.5,0.93271,0.487147,3,7,0,49250.1,-0.000230797,0.155379,0.12185,0.982177,0.145135,0.12287,-48090.4
-49251.3,0.826717,0.487147,2,3,0,49252.2,-0.00270029,0.159812,0.124807,0.974977,0.14935,0.125852,-48097.3
-49249.8,1,0.487147,3,7,0,49251.6,0.00187225,0.154506,0.125156,0.976386,0.143748,0.126203,-48091.9
-49248.9,0.888189,0.487147,2,3,0,49251.5,0.00151803,0.15715,0.126761,0.979912,0.146285,0.127821,-48092.3
-49249.1,0.979647,0.487147,3,7,0,49249.6,-0.000648513,0.156504,0.120337,0.97834,0.146529,0.121344,-48092.7
-49250.1,0.950418,0.487147,3,7,0,49250.7,0.00120913,0.151677,0.121917,0.979175,0.141252,0.122937,-48088.6
-49249.8,0.996542,0.487147,3,7,0,49251.1,-0.000639151,0.162153,0.123691,0.979335,0.15196,0.124726,-48097.1
-49249.5,0.895448,0.487147,3,7,0,49252.2,-0.00434595,0.156709,0.123556,0.978471,0.146283,0.12459,-48092.7
-49250.7,0.932339,0.487147,2,3,0,49250.9,-0.00570643,0.15807,0.124603,0.977416,0.147557,0.125646,-48094.6
-49252.2,0.868065,0.487147,2,7,0,49253.8,-0.00758644,0.159504,0.12321,0.980943,0.149256,0.124241,-48094.9
-49249.9,0.989953,0.487147,3,7,0,49253.4,-0.00207604,0.154405,0.123507,0.982297,0.143879,0.12454,-48089.5
-49250.7,0.959815,0.487147,3,7,0,49251.2,0.00298132,0.160179,0.124535,0.975724,0.149773,0.125577,-48097.3
-49250.5,0.97641,0.487147,3,7,0,49252.4,0.00195726,0.162726,0.125896,0.978443,0.152243,0.126949,-48098.2
-49252.7,0.522711,0.487147,2,3,0,49258.5,0.00475019,0.155442,0.128695,0.983544,0.144221,0.129772,-48090.8
-49251.1,1,0.487147,2,3,0,49253.1,0.00453063,0.154993,0.125909,0.982899,0.14415,0.126962,-48090.2
-49250.8,0.971964,0.487147,2,7,0,49253.2,0.00551762,0.161311,0.124272,0.979684,0.150995,0.125311,-48096.8
-49252.7,0.853774,0.487147,2,3,0,49254.5,0.00340833,0.162232,0.130354,0.98044,0.151088,0.131445,-48097.5
-49251,0.978704,0.487147,3,7,0,49255.1,0.00224823,0.151055,0.126488,0.978131,0.139946,0.127547,-48088.6
-49249,1,0.487147,2,3,0,49251.3,-0.00201226,0.157974,0.123034,0.981105,0.147681,0.124063,-48092.7
-49250.2,0.910461,0.487147,2,3,0,49250.7,-0.00201966,0.154768,0.119647,0.977382,0.144811,0.120648,-48092
-49249.8,0.957244,0.487147,2,3,0,49251.2,-0.00246711,0.156256,0.119802,0.978156,0.146346,0.120804,-48092.7
-49248.8,0.990797,0.487147,2,3,0,49250.3,0.00187338,0.154611,0.124352,0.980005,0.143974,0.125392,-48090.3
-49249.9,0.728448,0.487147,2,3,0,49252.1,-0.00266032,0.160195,0.122713,0.981667,0.150051,0.123739,-48094.6
-49249.1,1,0.487147,3,7,0,49250,0.00303724,0.154641,0.125203,0.979306,0.143883,0.12625,-48090.6
-49251.1,0.813717,0.487147,2,3,0,49252.5,0.00343528,0.150978,0.122428,0.978072,0.140447,0.123452,-48088.8
-49249.5,1,0.487147,2,7,0,49251.5,-0.00357406,0.158627,0.125823,0.980217,0.147965,0.126875,-48093.5
-49249.7,0.991179,0.487147,3,7,0,49250.3,0.00396272,0.154709,0.121183,0.979011,0.14453,0.122197,-48091.2
-49250.8,0.937877,0.487147,2,3,0,49251.3,0.00427487,0.155876,0.118972,0.977789,0.146068,0.119967,-48093.2
-49249.9,0.998707,0.487147,3,7,0,49251.6,-0.0045469,0.159029,0.125236,0.978412,0.148469,0.126283,-48094.7
-49251.1,0.877347,0.487147,2,3,0,49252.2,-0.00604237,0.159317,0.126709,0.979276,0.14856,0.127769,-48094.9
-49251.6,0.99297,0.487147,3,7,0,49253.1,0.0057476,0.154165,0.119026,0.97955,0.144269,0.120022,-48091.4
-49251.2,1,0.487147,2,3,0,49252.5,0.00519765,0.155581,0.119979,0.981735,0.145614,0.120983,-48091.5
-49251.3,0.844394,0.487147,2,7,0,49255.2,0.00206768,0.151553,0.119566,0.977939,0.141459,0.120566,-48089.5
-49250.8,0.990647,0.487147,3,7,0,49252.8,0.000568148,0.162477,0.12712,0.981114,0.151808,0.128184,-48096.9
-49250.8,0.999392,0.487147,3,7,0,49252.7,0.000262611,0.150863,0.122973,0.977464,0.140249,0.124002,-48088.7
-49248.9,0.779119,0.487147,3,7,0,49254.2,0.0032855,0.157257,0.124017,0.978302,0.14679,0.125054,-48093.2
-49248.7,0.971585,0.487147,3,7,0,49249.8,-0.00152572,0.157882,0.123181,0.980743,0.147564,0.124212,-48092.6
-49249.7,0.929471,0.487147,2,3,0,49249.9,-0.00442706,0.157397,0.125152,0.978432,0.146774,0.126199,-48093.3
-49249.7,0.996062,0.487147,3,7,0,49250.8,0.00195153,0.153778,0.120443,0.979772,0.143662,0.12145,-48090.1
-49250.8,0.837443,0.487147,3,7,0,49252.9,0.00174031,0.160898,0.127533,0.976589,0.150097,0.1286,-48097.4
-49252.3,0.934965,0.487147,2,3,0,49252.3,0.00196189,0.161122,0.128741,0.975508,0.150158,0.129818,-48098.5
-49253.1,0.97048,0.487147,3,7,0,49255,-0.00579433,0.152757,0.123939,0.983556,0.142093,0.124976,-48088.6
-49250,1,0.487147,3,7,0,49253.9,-0.00478164,0.159145,0.12467,0.978533,0.148673,0.125713,-48094.8
-49248.8,0.97437,0.487147,2,3,0,49250.7,-0.00111509,0.158963,0.125691,0.979484,0.148335,0.126743,-48094
-49249.9,0.892214,0.487147,2,3,0,49250.6,-7.12742e-05,0.152124,0.123743,0.981148,0.141458,0.124778,-48088.1
-49248.6,0.981455,0.487147,2,3,0,49250.4,0.00133041,0.155045,0.123124,0.979874,0.144604,0.124154,-48090.6
-49250.5,0.828467,0.487147,2,3,0,49250.8,-0.0019788,0.154563,0.125708,0.975664,0.143729,0.12676,-48092.3
-49250.4,0.987158,0.487147,2,7,0,49252.1,-0.00574288,0.157838,0.124676,0.980436,0.147304,0.125719,-48093.1
-49250.7,0.904833,0.487147,3,7,0,49253.4,-0.00393755,0.153538,0.127808,0.979437,0.142355,0.128877,-48089.9
-49249.7,0.984752,0.487147,3,7,0,49252.2,0.00413486,0.155714,0.123241,0.977199,0.145286,0.124272,-48092.7
-49250.3,0.809741,0.487147,3,7,0,49254.1,-0.000674735,0.160853,0.124063,0.982711,0.150546,0.125101,-48094.9
-49248.9,0.955077,0.487147,3,7,0,49251.8,0.00278348,0.155292,0.123678,0.978827,0.144782,0.124713,-48091.3
-49249.6,0.931815,0.487147,3,7,0,49250.2,-0.000316549,0.16111,0.121974,0.980785,0.151114,0.122994,-48095.7
-49250.7,0.858551,0.487147,3,7,0,49252.2,-0.00262287,0.155163,0.123817,0.983406,0.144628,0.124853,-48089.9
-49250.2,0.859305,0.487147,3,7,0,49254.6,0.00187851,0.160365,0.122074,0.976371,0.150321,0.123095,-48097.1
-49251.3,0.839218,0.487147,2,3,0,49252.9,-0.00118915,0.152753,0.125729,0.983317,0.141832,0.12678,-48088.1
-49249.9,1,0.487147,2,3,0,49252.1,0.000996616,0.1519,0.124185,0.978047,0.14116,0.125224,-48089.1
-49248.8,0.988537,0.487147,2,3,0,49250.4,-0.00202424,0.15849,0.125066,0.979853,0.14793,0.126112,-48093.4
-49248.8,0.998199,0.487147,3,7,0,49249.2,-0.00089524,0.155392,0.121788,0.978985,0.145157,0.122807,-48091.3
